delta_t,meanB,meanBR,meanR,stdB,stdBR,stdR
1.25E-08,2.164193,1.044167925,1.326811,0.277756494,0.056680682,0.014240666
2.50E-08,3.230908,1.007223575,1.387413,0.219573657,0.073275329,0.019248891
3.75E-08,5.21532,1.031436725,1.8752265,0.226932018,0.04858635,0.016909545
5.00E-08,2.793602,1.032665,1.4672785,0.297011012,0.040805326,0.016309351
6.25E-08,2.136453,1.014527375,1.325135,0.169438231,0.050816975,0.020471822
7.50E-08,2.03141505,1.03389745,1.329753,0.356016241,0.062441634,0.018781891
8.75E-08,2.0630705,1.02616865,1.317368,0.176344521,0.072076274,0.016106501
1.00E-07,1.7174035,1.05928165,1.306804,0.169389211,0.059711883,0.014524458
1.13E-07,2.3096645,1.04222865,1.3128515,0.151583454,0.041148291,0.012617294
1.25E-07,2.0406925,1.027603125,1.3145935,0.205140425,0.045281299,0.020122446
1.38E-07,1.814394,1.07020305,1.3237615,0.23015086,0.056437865,0.015957182
1.50E-07,2.0082335,1.05642585,1.3334385,0.155868605,0.046859905,0.018769001
1.63E-07,1.86164835,1.0336035,1.3080965,0.316820366,0.060689169,0.015145672
1.75E-07,1.9635405,1.02240385,1.3192945,0.186982535,0.054917759,0.01808484
1.88E-07,1.7945188,1.073104675,1.32241,0.324112312,0.062547194,0.020401994
2.00E-07,1.74971,1.0086755,1.3157385,0.175386168,0.04244612,0.024536127
2.25E-07,1.974637,1.051625175,1.3168625,0.084131455,0.039562375,0.008653186
2.50E-07,2.039168,1.043517925,1.3126685,0.081152004,0.050914142,0.01003487
2.75E-07,1.6846735,1.040452225,1.3084835,0.177767217,0.046607298,0.010750982
3.00E-07,1.8419025,1.064744025,1.296039,0.142183286,0.041643048,0.011802647
3.25E-07,1.8382205,1.03066995,1.3224715,0.161703259,0.034728483,0.00940481
3.50E-07,1.7468514,1.049125425,1.3219495,0.244233319,0.039358496,0.012453428
3.75E-07,1.846021,1.03615845,1.3046365,0.119974136,0.044123854,0.013150312
4.00E-07,1.9057405,1.019087825,1.3061065,0.15216528,0.038266952,0.015119169
4.50E-07,1.979817,1.048483225,1.3298475,0.145816693,0.02798096,0.009514224
5.00E-07,1.85426,1.021171025,1.3166605,0.097481181,0.02840664,0.010749977
5.50E-07,1.9129465,1.04583175,1.3063855,0.085033601,0.03235052,0.012227355
6.00E-07,1.7694285,1.0277561,1.3173135,0.088955557,0.02781365,0.007085846
6.50E-07,1.7969105,1.0276798,1.310695,0.088509849,0.023972131,0.008570158
7.00E-07,1.799875,1.0235501,1.3125435,0.109185492,0.02493252,0.006567111
7.50E-07,1.7659495,1.01946145,1.308649,0.129214517,0.036442478,0.00623279
8.00E-07,1.876303,1.041746575,1.314492,0.128343135,0.025858493,0.009673531
9.00E-07,1.909038,1.03006325,1.3094925,0.068246033,0.017817894,0.005432957
1.00E-06,1.8641435,1.0456018,1.306488,0.044111344,0.024319658,0.010222454
1.10E-06,1.84309,1.024095375,1.3130555,0.080840877,0.024102002,0.008998313
1.20E-06,1.7597735,1.03273975,1.30336,0.074447908,0.018122444,0.007282453
1.30E-06,1.8502935,1.04797185,1.309891,0.070205878,0.026648025,0.005400543
1.40E-06,1.7409155,1.039291325,1.3023225,0.066991566,0.021007317,0.006140219
1.50E-06,1.8375945,1.04762395,1.303805,0.053474905,0.025458192,0.003031716
1.60E-06,1.8488325,1.032917725,1.313598,0.051012663,0.018307119,0.00625807
1.80E-06,1.8510485,1.041309175,1.307815,0.071637086,0.013681326,0.004047247
2.00E-06,1.756521,1.0429847,1.3128815,0.050387993,0.014420114,0.005222242
2.20E-06,1.84835,1.038625125,1.3068235,0.050726014,0.015355454,0.003945781
2.40E-06,1.9127205,1.040132475,1.311482,0.060075914,0.016263202,0.006440222
2.60E-06,1.8438765,1.029744025,1.3148205,0.044249204,0.015686912,0.005322529
2.80E-06,1.7587565,1.0417152,1.305292,0.05751908,0.010540534,0.005782085
3.00E-06,1.830715,1.0310241,1.2995125,0.05083177,0.013241499,0.00413685
3.20E-06,1.803443,1.03540925,1.30629,0.03418689,0.013196284,0.00524537
3.60E-06,1.831884,1.03782565,1.3073915,0.045818482,0.010991046,0.001901309
4.00E-06,1.8340605,1.033059425,1.3025925,0.026333052,0.010123583,0.003321053
4.40E-06,1.745879,1.0391275,1.303537,0.025468677,0.008182982,0.003462935
4.80E-06,1.811489,1.034861125,1.3044595,0.045529338,0.010559272,0.003155636
5.20E-06,1.7797175,1.0391584,1.302387,0.034465847,0.012907789,0.002598627
5.60E-06,1.8014445,1.02950075,1.2987015,0.042671292,0.01150442,0.002550095
6.00E-06,1.75937,1.03326265,1.3002045,0.025248663,0.009609534,0.002542506
6.40E-06,1.760125,1.0426655,1.3020845,0.036989875,0.007948659,0.002601764
7.20E-06,1.79898,1.041128,1.2977785,0.02479303,0.006104002,0.003350983
8.00E-06,1.75489,1.0401025,1.2981505,0.024069559,0.006003844,0.001832528
8.80E-06,1.7940125,1.035937,1.29804,0.023690353,0.007311451,0.003674558
9.60E-06,1.767773,1.039855,1.2970595,0.023858017,0.006940634,0.002230841
1.04E-05,1.7883555,1.03334225,1.294193,0.024732746,0.00612954,0.001731984
1.12E-05,1.760484,1.029689375,1.2935475,0.02030834,0.007172153,0.003189121
1.20E-05,1.773328,1.03358825,1.2902025,0.012450141,0.008026423,0.001609096
1.28E-05,1.7554715,1.0337155,1.2942475,0.02207902,0.006712855,0.002007876
1.44E-05,1.7236715,1.03371175,1.2913355,0.021680414,0.004290406,0.002029242
1.60E-05,1.723187,1.03771975,1.29074,0.01608433,0.005132422,0.001229536
1.76E-05,1.738167,1.0349815,1.2862975,0.017218034,0.004998825,0.001524172
1.92E-05,1.7167265,1.035868,1.2877685,0.019353416,0.006264938,0.001421803
2.08E-05,1.7653745,1.03775575,1.2892245,0.013511961,0.005177666,0.001715475
2.24E-05,1.725317,1.0382105,1.283612,0.020982351,0.006842772,0.001691735
2.40E-05,1.7101175,1.03420675,1.283324,0.013576756,0.006643473,0.001364518
