delta_t,meanB,meanBR,meanR,stdB,stdBR,stdR
1.25e-08,2.204562,1.0896359966666664,1.3447017333333333,0.5334642670618779,0.0803668435030993,0.026589460341688433
2.5e-08,2.074785533333334,1.07360227,1.4322897333333333,0.29107155092516723,0.09380569564795857,0.04358756877744948
3.75e-08,4.791941733333333,1.0517399799999998,1.7670570666666663,0.6413029728829128,0.10390004891945721,0.043410824901118326
5e-08,3.9434899333333333,1.0674261866666666,1.431694866666667,0.6070685419015404,0.10457584415342366,0.019207427594090328
6.25e-08,2.2971394000000003,1.0674748500000002,1.320532466666667,0.41348752839520236,0.0910541131000782,0.032363208808494595
7.5e-08,1.8901790666666665,1.0838344100000001,1.3253769333333336,0.47275326486860875,0.11199964796390613,0.027626639253847396
8.75e-08,2.0045068,1.0875168333333332,1.3223195333333337,0.3806619853361071,0.10761191186972542,0.03044330955698184
1e-07,1.7477516,1.0526284399999997,1.3245394666666668,0.5159988237186592,0.10825169513931134,0.035563157782301735
1.125e-07,1.8817921999999998,1.0805495033333332,1.3175405333333332,0.3859981115724445,0.10389861447287442,0.026290439321463528
1.25e-07,2.0353724,1.0824168933333334,1.3029600666666667,0.3512161835841851,0.09576283368777587,0.03393839581843678
1.375e-07,1.883752986666667,1.0943392533333334,1.3195361333333333,0.47905901417639124,0.10000186941741884,0.03143907597214366
1.5e-07,1.95813394,1.0562307066666667,1.3196877333333332,0.456080786222467,0.08685327997796796,0.025024781145807345
1.625e-07,1.7229591333333332,1.07176331,1.3190215333333333,0.3431135176950172,0.09451651484830345,0.026427607867194926
1.75e-07,1.9226671333333334,1.1089567900000001,1.3154808666666669,0.43967627990706476,0.09332083606357998,0.0355424227496601
1.875e-07,1.8411502000000002,1.0549081233333333,1.328670533333333,0.35361297788574825,0.10059396184977071,0.033479326414702866
2e-07,1.7445041399999999,1.0619331333333335,1.3241653999999998,0.4887332438648658,0.10272315788038688,0.0367702652130767
2.25e-07,1.7829282,1.0700015533333334,1.3194137333333336,0.3820347650844009,0.06321004398615636,0.027583828011999267
2.5e-07,1.8959319333333335,1.0790883866666667,1.3314008666666668,0.3230207059126843,0.07449973074293506,0.019316074017483184
2.75e-07,1.682297586666667,1.0857714733333335,1.3225424666666667,0.33156644104342825,0.07672770197057008,0.02895218410613535
3e-07,1.7650108666666666,1.0746024099999998,1.3337533333333333,0.19253597424476865,0.07399729630097011,0.02155467181739389
3.25e-07,1.7801852666666667,1.0851321733333334,1.3180924,0.3612904511171895,0.07025395830724857,0.026306174701769162
3.5e-07,1.7697233333333338,1.0726651833333334,1.3106170666666668,0.30658338859428697,0.07148886653297412,0.020837634169827337
3.75e-07,1.8378120666666666,1.0863190966666665,1.3099337333333336,0.3850609652792601,0.05980036278136046,0.02800207390287767
3.999999e-07,1.8306178666666666,1.0668760866666667,1.3237468,0.2598986958517663,0.0530250312966982,0.02352466415828291
4.5e-07,1.7703915999999997,1.0727723466666665,1.3195645333333332,0.20787314667165008,0.06402995801668535,0.013825281083901672
4.999999e-07,1.7317934666666666,1.0793336600000003,1.3163955333333335,0.1695199952976508,0.052510200800407046,0.012389558533252456
5.499999e-07,1.802728333333333,1.05772521,1.3196604666666665,0.21474020054930462,0.05522074518457322,0.016543408019980495
5.999999e-07,1.7558936666666667,1.0861241666666668,1.3118945999999996,0.13926248975162775,0.04249404332694433,0.014762658951105914
6.499999e-07,1.7844552,1.062525346666667,1.3173235333333333,0.17169677080993692,0.04020529624421582,0.019766233871147267
6.999999e-07,1.7550005999999998,1.0665270566666667,1.3144743999999997,0.17494226423206027,0.042742608389581487,0.015819741442472
7.499999e-07,1.7961928,1.0719187566666666,1.3208944666666667,0.15772223063652122,0.039808775145233864,0.013083472407923223
7.999998e-07,1.773896666666667,1.0801918266666666,1.3186555999999998,0.22894812429563358,0.05046337467180153,0.017125479616836033
8.999999e-07,1.7473868000000004,1.0673383499999998,1.3199948,0.11796254813976623,0.03263246011901596,0.011012506194928284
9.999999e-07,1.7482016666666667,1.0676933766666667,1.3202666666666667,0.1082747220901023,0.041609169310875715,0.013089695105523108
1.1e-06,1.7522706000000003,1.0799134833333335,1.3135623333333335,0.156540849004895,0.03654339745710647,0.007459010029636782
1.2e-06,1.782653466666667,1.0807764333333334,1.3222498666666667,0.10084394423984458,0.03554772077895978,0.013930599704088664
1.3e-06,1.654857266666667,1.084414,1.3212679333333335,0.13321869115178828,0.02962378804046954,0.012702704034793368
1.4e-06,1.7221416666666665,1.0690358999999998,1.3155763333333335,0.1712322955701471,0.03311409878621692,0.011410884451064956
1.5e-06,1.6780648666666667,1.0729640333333335,1.3129354666666668,0.10333352643220667,0.037754795174020236,0.015131793777194943
1.6e-06,1.6752040000000004,1.0669522,1.3156656666666668,0.15499514759372304,0.027520597116099554,0.012259203191434954
1.8e-06,1.7384773999999998,1.0796421333333335,1.3190828666666665,0.0983557014031554,0.027569701592791235,0.008232085502201452
2e-06,1.7347764,1.0655328333333332,1.3151818,0.08284267098204888,0.025883932272207463,0.007907853186969682
2.2e-06,1.7907042666666666,1.0679452,1.3146953333333333,0.12176184402210004,0.023278004748975654,0.011170128812546871
2.4e-06,1.7213006666666666,1.0781273333333337,1.3181784,0.10171655190162295,0.0215674227549072,0.011691794654371927
2.6e-06,1.7428388000000001,1.0815264666666666,1.3088811999999999,0.09199765358181695,0.025520815656679584,0.006539719272262354
