delta_t,meanB,meanBR,meanR,stdB,stdR,stdBR
1.25E-08,1.693065333,1.054331958,1.32357,0.10600426,0.020174265,0.047175337
2.50E-08,1.835301833,1.062732471,1.418821333,0.094967563,0.031122265,0.03608285
3.75E-08,2.2971305,1.075199167,1.8254105,0.11076483,0.040156181,0.040495947
5.00E-08,1.7223055,1.062640317,1.47604825,0.069242086,0.029360972,0.048503903
6.25E-08,1.572446833,1.054267279,1.3547665,0.066890098,0.027356321,0.040745658
7.50E-08,1.622081417,1.061695329,1.33633375,0.079875772,0.025551245,0.035887663
8.75E-08,1.613410167,1.051021537,1.337570917,0.081092183,0.026594282,0.046920795
1.00E-07,1.589338167,1.06662325,1.33368525,0.078268761,0.028062715,0.036869414
1.13E-07,1.568290583,1.066099675,1.340290667,0.114571945,0.03048507,0.048062616
1.25E-07,1.624782417,1.070366708,1.332032917,0.099131405,0.021430651,0.033086419
1.38E-07,1.532145,1.061225638,1.347951167,0.085896173,0.036803034,0.032738768
1.50E-07,1.534963667,1.078883792,1.338368167,0.076367462,0.017460267,0.032113397
1.63E-07,1.56537675,1.055828704,1.340448667,0.088359179,0.023550852,0.04511329
1.75E-07,1.597747583,1.079401542,1.342922417,0.085705503,0.031432082,0.057411947
1.88E-07,1.608931333,1.082417625,1.338381417,0.096029753,0.021568357,0.041094454
2.00E-07,1.584595333,1.06673925,1.338924833,0.080234744,0.025621226,0.043278884
2.25E-07,1.6171455,1.062654167,1.318000583,0.085216397,0.018648059,0.029643867
2.50E-07,1.5519445,1.061129892,1.343687333,0.06378963,0.01318051,0.026245203
2.75E-07,1.5630505,1.053376408,1.34062925,0.069170518,0.016593805,0.03340942
3.00E-07,1.5685065,1.06779625,1.33664775,0.041550757,0.018147056,0.024867445
3.25E-07,1.55662625,1.061536875,1.328707833,0.054400721,0.020189093,0.026928524
3.50E-07,1.607069167,1.059390517,1.334497667,0.071706972,0.013909003,0.0323187
3.75E-07,1.549693667,1.065637833,1.328487,0.053945872,0.019992776,0.030581193
4.00E-07,1.567968583,1.060978958,1.331073833,0.056138583,0.032322827,0.024832639
4.50E-07,1.58999625,1.063955208,1.330403083,0.028867845,0.016285143,0.020027798
5.00E-07,1.591867667,1.056314958,1.330242167,0.057263334,0.012786001,0.018702174
5.50E-07,1.562307,1.061625458,1.33606975,0.042747463,0.016078183,0.019913954
6.00E-07,1.57677725,1.068376042,1.32843775,0.041313974,0.01195688,0.017987477
6.50E-07,1.581841583,1.064638542,1.327227,0.045843402,0.012423614,0.018245904
7.00E-07,1.56439675,1.067322208,1.327276,0.052152356,0.007034509,0.02171033
7.50E-07,1.567975833,1.060655625,1.32656525,0.04404136,0.011678438,0.020953244
8.00E-07,1.579574,1.066557583,1.327758833,0.029543859,0.013093388,0.017425621
9.00E-07,1.55729675,1.062350792,1.3296265,0.039361885,0.009253235,0.010863243
1.00E-06,1.562019167,1.068745958,1.326812,0.01675308,0.006955064,0.015537049
1.10E-06,1.57374,1.064532917,1.327440333,0.034637719,0.011396511,0.018978027
1.20E-06,1.575213417,1.060639625,1.32727625,0.0287686,0.010549701,0.015842607
1.30E-06,1.581789833,1.065997333,1.328844,0.030853159,0.01018365,0.010134109
1.40E-06,1.565346,1.064939875,1.334192167,0.02596697,0.010105801,0.014655396
1.50E-06,1.56754825,1.059976042,1.321195917,0.030914517,0.009305207,0.017249384
1.60E-06,1.550883,1.067059833,1.322939333,0.024523914,0.007941133,0.014048067
1.80E-06,1.565163833,1.063095292,1.327540083,0.015374352,0.006720071,0.011331643
2.00E-06,1.557489667,1.0602455,1.3269835,0.027144787,0.00907548,0.013570755
2.20E-06,1.556840417,1.06157375,1.321768083,0.027080631,0.006092759,0.009933886
2.40E-06,1.5677135,1.066590125,1.325125667,0.018726746,0.007962026,0.011321616
2.60E-06,1.557859083,1.064853125,1.326879833,0.017690569,0.006014862,0.013543664
2.80E-06,1.558428667,1.05911525,1.324047917,0.024223735,0.005279666,0.008973924
3.00E-06,1.561851667,1.06320175,1.3264135,0.016537976,0.006226965,0.010819951
3.20E-06,1.546715583,1.063231125,1.3205195,0.023112362,0.004842044,0.010302125
3.60E-06,1.544898667,1.064459708,1.322310833,0.016429102,0.004934641,0.007201342
4.00E-06,1.549235083,1.063322083,1.322066417,0.021500418,0.00447044,0.007209217
4.40E-06,1.5392455,1.060018875,1.320835083,0.014706994,0.005882547,0.006882949
4.80E-06,1.534915333,1.064451042,1.321824,0.009512503,0.004446862,0.008098807
5.20E-06,1.526865833,1.061637917,1.318562333,0.018648582,0.003892105,0.00912482
5.60E-06,1.538821833,1.062455208,1.316415667,0.009829983,0.006883306,0.006575461
6.00E-06,1.532302083,1.058649917,1.318042167,0.017347546,0.00424404,0.007322962
6.40E-06,1.533532,1.060997958,1.317947083,0.017364455,0.004671057,0.008504118
7.20E-06,1.5307145,1.063406625,1.316015,0.004835135,0.004811503,0.005102703
8.00E-06,1.523343667,1.0645035,1.314439917,0.006103048,0.003842004,0.005125632
8.80E-06,1.528108,1.064687292,1.314918333,0.012095659,0.004230238,0.006084137
9.60E-06,1.522543667,1.062667875,1.311986833,0.012045609,0.002434351,0.004949539
1.04E-05,1.521196,1.064136458,1.312292917,0.009407835,0.003247181,0.006973383
1.12E-05,1.521137083,1.064342292,1.313395417,0.008588019,0.003142164,0.005382476
1.20E-05,1.507557917,1.062005625,1.310142917,0.010168196,0.003381776,0.003934977
1.28E-05,1.512764417,1.064915625,1.3119085,0.011411195,0.004812599,0.006777879
1.44E-05,1.506982917,1.062307333,1.308857583,0.008331975,0.002293804,0.003953174
1.60E-05,1.5062895,1.063214125,1.309280833,0.00639757,0.003151679,0.003969281
1.76E-05,1.50287875,1.064946167,1.307868083,0.009166638,0.002173,0.004469789
1.92E-05,1.503434917,1.063139042,1.30620425,0.006235713,0.003157839,0.003688361
2.08E-05,1.49541375,1.062617875,1.306389417,0.007264889,0.003343746,0.004366142
2.24E-05,1.491580417,1.06281525,1.30540725,0.009262946,0.002611868,0.004644092
2.40E-05,1.488562833,1.063798083,1.305418833,0.005426633,0.002136034,0.00391578
2.56E-05,1.49484175,1.061904542,1.304582833,0.009749247,0.00319644,0.003653518
2.88E-05,1.487332167,1.063035208,1.302462167,0.00589842,0.00224752,0.002566148
3.20E-05,1.482968417,1.063434792,1.3006185,0.008650616,0.002566527,0.003054645
3.52E-05,1.476436667,1.063888958,1.299590833,0.00595034,0.001767893,0.003167377
3.84E-05,1.47782025,1.062115208,1.298506333,0.005822833,0.002499538,0.003210755
4.16E-05,1.4742565,1.062826083,1.29792375,0.006325506,0.002124376,0.003596129
4.48E-05,1.469760417,1.062848583,1.2978,0.006420087,0.002135855,0.00238617
4.80E-05,1.464546333,1.062772875,1.296386417,0.006412426,0.002443172,0.002995913
5.12E-05,1.465064083,1.062579875,1.295228417,0.008100253,0.002776993,0.001796381
5.76E-05,1.458311667,1.06237925,1.293405917,0.004754773,0.001279041,0.002563197
6.40E-05,1.452742917,1.062725917,1.291714583,0.00352988,0.001858429,0.00221335
7.04E-05,1.448062583,1.062987333,1.290169583,0.005614809,0.002407438,0.00207046
7.68E-05,1.441763417,1.063054375,1.288053583,0.005769997,0.001605559,0.002504089
8.32E-05,1.43917875,1.062503417,1.287563333,0.005194014,0.001705504,0.00231476
8.96E-05,1.432254667,1.061885042,1.28500575,0.004222082,0.00241216,0.001966849
9.60E-05,1.429476417,1.062095125,1.2841315,0.003613834,0.002304687,0.002050802
0.0001024,1.424303333,1.061929417,1.282677417,0.005740014,0.001751562,0.002215877
0.0001152,1.417413167,1.061699667,1.280026917,0.00271442,0.002104489,0.001984624
0.000128,1.409154917,1.061374375,1.277513583,0.003430558,0.001847198,0.001461384
0.0001408,1.4037305,1.061525917,1.27482625,0.003913214,0.001704078,0.002201515
0.0001536,1.396285167,1.061160833,1.27189575,0.005795167,0.001849096,0.001951216
0.0001664,1.389846167,1.061190833,1.270013833,0.004804757,0.001360628,0.001419155
