delta_t,meanB,meanBR,meanR,stdB,stdR,stdBR
1.25E-08,2.5326782,1.177378883,1.954187267,0.455815443,0.082702767,0.158182501
2.50E-08,3.2707698,1.13148382,2.235593533,0.34435011,0.12042287,0.151400924
3.75E-08,4.9309208,1.174198313,3.5365522,0.632914541,0.184658297,0.114899544
5.00E-08,2.9803392,1.134391723,2.473054067,0.531879257,0.097447964,0.084515213
6.25E-08,2.242657333,1.11543916,1.960848867,0.370708222,0.112427455,0.140194681
7.50E-08,2.419847067,1.156315377,1.950094067,0.374088497,0.107504355,0.12266372
8.75E-08,2.446987533,1.118084333,1.9053702,0.337768258,0.094662619,0.110231194
1.00E-07,2.284236733,1.123809053,2.016249667,0.456667835,0.152430863,0.144358478
1.13E-07,2.285907333,1.216264257,1.898286267,0.295011079,0.107674776,0.15081452
1.25E-07,2.455430133,1.121584503,1.9576364,0.383356999,0.097687646,0.150266939
1.38E-07,2.356087933,1.182379173,1.946096733,0.34543532,0.119018239,0.138244357
1.50E-07,2.497149133,1.13911629,1.980989133,0.350762098,0.107194494,0.166199719
1.63E-07,2.518260333,1.14570477,1.958164533,0.42871847,0.037939244,0.170858326
1.75E-07,2.4954068,1.19972177,1.9753318,0.403588166,0.084119129,0.172330481
1.88E-07,2.401618867,1.189417113,1.982532733,0.350231333,0.104426859,0.165986076
2.00E-07,2.327081667,1.180137003,1.9413374,0.454418964,0.06218171,0.121550546
2.25E-07,2.5448888,1.172629867,1.9148146,0.288926534,0.061779037,0.105297655
2.50E-07,2.580552267,1.161372133,1.901332267,0.26385324,0.065923776,0.112631994
2.75E-07,2.499112867,1.166413783,1.952288333,0.233827964,0.084426542,0.103074594
3.00E-07,2.511259533,1.140371347,1.9228966,0.153322418,0.073380317,0.107161164
3.25E-07,2.622593467,1.1370575,1.956357867,0.310976009,0.0657069,0.091639762
3.50E-07,2.455051067,1.181734817,1.977048067,0.17697374,0.043371465,0.11257918
3.75E-07,2.331219933,1.157906617,1.984770533,0.313809859,0.077535326,0.090069538
4.00E-07,2.4042638,1.147263273,1.960455,0.275265941,0.066385151,0.110820021
4.50E-07,2.468725533,1.146692973,1.931219867,0.179594986,0.040219768,0.084454659
5.00E-07,2.517887333,1.12337326,1.924770333,0.177648013,0.049138602,0.084045511
5.50E-07,2.435027267,1.143684363,1.9168168,0.219303382,0.058538732,0.06970392
6.00E-07,2.507728933,1.167628533,1.915044667,0.143273229,0.046243828,0.08152862
6.50E-07,2.495897,1.142781837,1.911434733,0.210571195,0.052523879,0.079224598
7.00E-07,2.3995532,1.128971443,1.922002133,0.136027544,0.057250122,0.080225231
7.50E-07,2.455769533,1.16842302,1.931624733,0.197975516,0.058573379,0.079275805
8.00E-07,2.434601467,1.137138967,1.9056062,0.185278009,0.045042705,0.06682785
9.00E-07,2.4206774,1.160197967,1.917554133,0.143955179,0.029843677,0.051586877
1.00E-06,2.447171067,1.140192733,1.915122533,0.155043855,0.026866625,0.052709911
1.10E-06,2.4438712,1.1532775,1.9049736,0.120539487,0.036456367,0.051141824
1.20E-06,2.4117104,1.142762667,1.929254133,0.168113436,0.043523583,0.046854747
1.30E-06,2.4373904,1.158916913,1.928258267,0.128698838,0.047446208,0.062370866
1.40E-06,2.390591267,1.148466533,1.932934467,0.196367019,0.037391937,0.063062142
1.50E-06,2.380954133,1.136651067,1.902987867,0.149762496,0.043018523,0.050562255
1.60E-06,2.3809294,1.1541117,1.908267533,0.150440723,0.036493874,0.039491295
1.80E-06,2.448006067,1.1472106,1.924387467,0.081118516,0.033164243,0.032628089
2.00E-06,2.321090933,1.151966333,1.920523667,0.078235423,0.023917552,0.035518621
2.20E-06,2.4265318,1.151571167,1.916639667,0.086944021,0.028824379,0.030906763
2.40E-06,2.384670133,1.161764467,1.903917733,0.083382175,0.035457883,0.032781351
2.60E-06,2.3966334,1.142625333,1.914800133,0.113401265,0.023805431,0.046383402
2.80E-06,2.3802544,1.152070433,1.9220464,0.089054926,0.02141845,0.038379972
3.00E-06,2.3733352,1.1704668,1.894048267,0.096503927,0.034295654,0.037131668
3.20E-06,2.338262267,1.157108433,1.895468067,0.071095523,0.028111876,0.035900668
3.60E-06,2.382054333,1.161265833,1.8990214,0.068130456,0.017209275,0.020895204
4.00E-06,2.3577376,1.1459554,1.897780933,0.058490185,0.022670105,0.02480184
4.40E-06,2.3356448,1.154638267,1.889143067,0.058822465,0.022114145,0.024641832
4.80E-06,2.338066867,1.151325433,1.9001694,0.067613226,0.023439815,0.024847046
5.20E-06,2.295054333,1.1604608,1.899746067,0.059728758,0.024269211,0.024476378
5.60E-06,2.3430482,1.157908033,1.887862133,0.060229116,0.022534908,0.0229142
6.00E-06,2.341868933,1.1529556,1.8851802,0.086733767,0.0178114,0.029888648
6.40E-06,2.331419533,1.159194,1.884635933,0.079718417,0.023328999,0.021079882
7.20E-06,2.3310094,1.157638133,1.886563667,0.052313764,0.011179492,0.018709691
8.00E-06,2.297827933,1.149957033,1.882665733,0.056233312,0.017887023,0.018811046
8.80E-06,2.3059124,1.1515688,1.879159067,0.036080189,0.022286302,0.021536538
9.60E-06,2.3010012,1.157662933,1.875823533,0.063751023,0.022809118,0.018284848
1.04E-05,2.285079133,1.149944733,1.876010133,0.06674093,0.01861402,0.017647089
1.12E-05,2.284315267,1.161842567,1.871417733,0.064832074,0.018935428,0.020265305
1.20E-05,2.283869133,1.1472933,1.875660467,0.058192753,0.015452409,0.017225892
1.28E-05,2.2981842,1.152836333,1.8607246,0.064857021,0.014383674,0.015457278
1.44E-05,2.275173133,1.1528763,1.866429133,0.043266706,0.016101643,0.012406486
1.60E-05,2.271450267,1.152009833,1.868157267,0.02837913,0.015557252,0.01418324
1.76E-05,2.2564372,1.152121167,1.862624867,0.024569913,0.015922897,0.013361594
1.92E-05,2.253658667,1.153681567,1.859913933,0.045907326,0.013499718,0.01540137
2.08E-05,2.261451467,1.152374867,1.858466,0.057974682,0.0165528,0.01305924
2.24E-05,2.246233133,1.150247667,1.85299,0.046672358,0.013114027,0.012035144
2.40E-05,2.250093533,1.154060133,1.856033267,0.050459899,0.016727813,0.013186047
2.56E-05,2.2370114,1.150802167,1.854749333,0.038623267,0.016083863,0.014096198
2.88E-05,2.246399933,1.1525961,1.850620333,0.041706982,0.017789515,0.008406195
3.20E-05,2.232570867,1.154103633,1.849010333,0.029282777,0.015418753,0.010592286
3.52E-05,2.219528667,1.147428767,1.847530533,0.054028724,0.012876383,0.011537526
3.84E-05,2.221607133,1.150837167,1.846133333,0.03797702,0.010816705,0.010805047
4.16E-05,2.213672333,1.153348433,1.8421846,0.029252634,0.013956153,0.009747908
4.48E-05,2.212095733,1.151571933,1.8431084,0.046953011,0.011529404,0.011268461
4.80E-05,2.2065898,1.152333,1.840211933,0.036358454,0.011937306,0.013719666
5.12E-05,2.2045346,1.154669433,1.8399608,0.030273704,0.013720001,0.009180005
5.76E-05,2.194839867,1.1512842,1.832432267,0.043555031,0.01276556,0.008231773
6.40E-05,2.183105467,1.153291933,1.832530267,0.037045279,0.010421087,0.008913356
7.04E-05,2.176230267,1.152994633,1.8298796,0.029775097,0.011858657,0.008004915
7.68E-05,2.168899,1.1505584,1.8264724,0.03500298,0.012900158,0.01099105
8.32E-05,2.157934867,1.153017533,1.822242667,0.031854914,0.010550739,0.008780053
8.96E-05,2.149004267,1.151721033,1.821132267,0.02918294,0.009278114,0.009449609
9.60E-05,2.1418664,1.152468933,1.8197512,0.030310605,0.012276294,0.00988421
0.0001024,2.136796467,1.152828033,1.818242333,0.033210506,0.011935395,0.009548197
0.0001152,2.130189267,1.150522167,1.8107418,0.035065747,0.010869767,0.00811351
0.000128,2.114438667,1.150431333,1.807523933,0.034711874,0.011671757,0.006340131
0.0001408,2.1018218,1.151815033,1.802825733,0.030588428,0.01257353,0.008634604
0.0001536,2.0940006,1.150908967,1.7974088,0.034096255,0.011991791,0.007995177
0.0001664,2.0793768,1.151401033,1.795289067,0.030471212,0.01221854,0.008521312
0.0001792,2.0721736,1.1500411,1.7909082,0.029890346,0.011649326,0.00678269
0.000192,2.057619733,1.150660933,1.787357,0.033841801,0.011474061,0.006370544
0.0002048,2.054619867,1.150042,1.784843333,0.029294159,0.011656794,0.007166041
0.0002304,2.037781933,1.150896667,1.777359733,0.028518299,0.011083408,0.006251774
0.000256,2.020778933,1.150700733,1.771313733,0.033688924,0.010866167,0.007484598
0.0002816,2.008177533,1.1508702,1.765725733,0.025586453,0.011012554,0.006452691
0.0003072,1.994105467,1.1506448,1.759141933,0.022879789,0.011016307,0.007079053
0.0003328,1.9793954,1.1512019,1.754255933,0.027395538,0.010592389,0.00651493
0.0003584,1.969631667,1.151907933,1.749571867,0.024352564,0.010793879,0.006609025
0.000384,1.953984467,1.149707867,1.743871133,0.029875218,0.011098042,0.00659433
0.0004096,1.944587467,1.1500674,1.7387554,0.026664516,0.011801843,0.006851679
0.0004608,1.9258966,1.149871333,1.729137333,0.022754559,0.010783048,0.006430558
0.000512,1.907125267,1.1498931,1.721068267,0.025413179,0.010016785,0.006776854
0.0005632,1.884774467,1.1497294,1.711732867,0.024594143,0.010356119,0.00646884
0.0006144,1.871421,1.149579367,1.704593933,0.022226243,0.011092662,0.006600459
0.0006656,1.853897533,1.149922867,1.6970158,0.025912956,0.010856274,0.005898546
0.0007168,1.841007667,1.149949633,1.689628267,0.024328482,0.010606571,0.005829407
0.000768,1.8281836,1.149730833,1.683639467,0.022839935,0.010308746,0.006670735
0.0008192,1.816063,1.149013733,1.676418533,0.023870101,0.010027681,0.006094189
0.0009216,1.790534867,1.1486413,1.6650962,0.021699761,0.010159716,0.005942748
0.001024,1.766698667,1.148487933,1.653928333,0.021168642,0.009830102,0.006404551
0.0011264,1.749141067,1.148369933,1.643164333,0.020845848,0.009961101,0.006518917
0.0012288,1.728369867,1.148022267,1.6338776,0.018820701,0.009520928,0.006324364
0.0013312,1.71238,1.1477237,1.624168067,0.022477239,0.009016571,0.006682663
0.0014336,1.6951682,1.146773667,1.615932133,0.019145333,0.010017763,0.00600389
0.001536,1.680752133,1.1472186,1.607055067,0.017129283,0.009652171,0.006220671
0.0016384,1.667602133,1.146355167,1.598896,0.018055099,0.009964991,0.006372352
0.0018432,1.640726867,1.1447788,1.584877667,0.017968929,0.009560207,0.006068311
0.002048,1.6177738,1.144386433,1.571437667,0.016690836,0.009429202,0.00564953
0.0022528,1.597271,1.1436764,1.559144467,0.016379904,0.009128078,0.005436855
0.0024576,1.579204,1.1428246,1.547650267,0.015940845,0.009557671,0.005858477
0.0026624,1.560392667,1.141993933,1.537336267,0.014584524,0.008819921,0.005751579
0.002867199,1.544353267,1.1409189,1.5270658,0.015237271,0.009022705,0.005836735
0.003071999,1.5299322,1.140132667,1.517955933,0.014497146,0.008878403,0.005711097
0.003276799,1.516228333,1.139298867,1.508931067,0.014562387,0.008594672,0.006525935
0.003686399,1.4914254,1.136963867,1.492643,0.014636651,0.008777823,0.00584824
0.004096,1.4688636,1.1354228,1.477986867,0.014528296,0.008351503,0.005763286
0.004505599,1.449919133,1.1332213,1.464391333,0.013899415,0.008240915,0.005443287
0.004915199,1.4325464,1.131489133,1.452126333,0.013382162,0.008334946,0.005659771
0.005324799,1.4163724,1.129733867,1.4406384,0.012399146,0.008547339,0.005649858
0.005734399,1.401275667,1.1279961,1.429368,0.0128759,0.008169498,0.005466017
0.006143999,1.386973933,1.125918567,1.419838133,0.012846984,0.008365955,0.00539996
0.006553599,1.3756484,1.124331167,1.410074933,0.011503811,0.008168929,0.005537329
0.007372799,1.3535348,1.121054533,1.393090467,0.012236581,0.007662999,0.005469827
0.008191999,1.333589467,1.1174641,1.377437467,0.010942176,0.007448418,0.005403101
0.009011199,1.315936067,1.114027133,1.363559667,0.010003673,0.007205831,0.005044868
0.009830398,1.300292533,1.111051133,1.3507346,0.009563623,0.007198626,0.004951179
0.0106496,1.286501,1.1081247,1.338894067,0.008738853,0.00715851,0.00492172
0.0114688,1.273249733,1.1053843,1.327809733,0.007779979,0.007002787,0.004963329
0.012288,1.261232867,1.1027036,1.3170856,0.007230771,0.006855599,0.004864877
0.0131072,1.251047867,1.100288833,1.3072052,0.006993543,0.007257068,0.005010189
0.0147456,1.2309986,1.095859567,1.2898044,0.008073592,0.00698706,0.005185309
0.016384,1.216183733,1.091321133,1.274030333,0.007903515,0.00703205,0.005047651
0.0180224,1.201880133,1.0869639,1.259844933,0.007164005,0.007006551,0.005335684
0.0196608,1.188958467,1.083025433,1.2470052,0.00669418,0.006395087,0.005418252
0.0212992,1.178217533,1.0797649,1.2357516,0.007188094,0.006273284,0.005727538
0.0229376,1.168058533,1.0767007,1.2252442,0.007379013,0.006174272,0.00559421
0.024576,1.158796867,1.073983267,1.215270467,0.007108825,0.006272751,0.005698323
0.02621439,1.1502922,1.070624767,1.205984467,0.007284897,0.005815725,0.005481707
0.0294912,1.135056,1.065428733,1.1902364,0.005715466,0.005790559,0.004919317
0.032768,1.122963867,1.060976233,1.176542933,0.004698166,0.005702308,0.004587194
0.0360448,1.112673867,1.056836267,1.164218867,0.004868918,0.005747662,0.004251081
0.03932159,1.1036636,1.053340067,1.1533722,0.004928158,0.00572097,0.004587514
0.04259839,1.0959716,1.050803667,1.143809,0.005183332,0.005349088,0.004788963
0.04587519,1.0897154,1.048075,1.134883267,0.005017343,0.005342692,0.00460224
0.04915199,1.083611067,1.045640233,1.127397533,0.005299127,0.005324249,0.004929008
0.05242879,1.0781606,1.0431861,1.1205368,0.005732665,0.005313083,0.00510121
0.05898239,1.070507,1.039424667,1.108650533,0.004655936,0.005042319,0.004860351
0.06553599,1.063303933,1.035748167,1.098632267,0.00420921,0.004800723,0.004901834
0.07208959,1.056427067,1.033093667,1.090482333,0.005325751,0.004221665,0.004606017
0.07864319,1.050492467,1.030504967,1.083303933,0.005832721,0.003601927,0.003979983
0.08519679,1.046486667,1.028236967,1.076719467,0.004501653,0.003671085,0.004093953
0.09175038,1.041916533,1.0261626,1.071502333,0.004524881,0.003678246,0.004593425
0.09830398,1.039182933,1.025076733,1.067223,0.004257136,0.00366906,0.004358973
0.1048576,1.036755533,1.024231133,1.063168267,0.003564254,0.003769527,0.003772497
0.1179648,1.032214267,1.0204904,1.056283533,0.004215257,0.003965572,0.003472407
0.131072,1.028921067,1.018607533,1.051037333,0.004435487,0.003681065,0.004032825
0.1441792,1.0260866,1.017009133,1.045480333,0.004777702,0.003412391,0.004453041
0.1572864,1.022727133,1.015587467,1.040981533,0.003610422,0.00255226,0.004248823
0.1703936,1.020055467,1.014056867,1.036344733,0.004037498,0.00247475,0.00412023
0.1835008,1.018401667,1.013436833,1.033380333,0.004291753,0.003042528,0.003922484
0.196608,1.0175942,1.012362633,1.030783133,0.004393993,0.00263881,0.003782245
0.2097152,1.016493867,1.012468667,1.029246,0.004181525,0.002794312,0.003415837
0.2359296,1.0130748,1.010633133,1.025250267,0.004207932,0.004605996,0.004010372
0.262144,1.012406867,1.0088358,1.021728267,0.003853446,0.005212064,0.004219518
0.2883584,1.010460067,1.0073588,1.019737667,0.003256032,0.004558879,0.003808465
0.3145728,1.009340267,1.006492843,1.018058333,0.003190076,0.004379891,0.003753859
0.3407871,1.007616327,1.006193507,1.0174584,0.004152961,0.004648552,0.003384196
0.3670015,1.0075748,1.00570482,1.015335133,0.00317654,0.00438808,0.003579417
0.3932159,1.007088933,1.004894427,1.0144446,0.002867338,0.004569916,0.004391471
0.4194303,1.007963933,1.003838367,1.013130933,0.003410241,0.004851366,0.005159251
0.4718591,1.005056067,1.00407229,1.010367467,0.002913677,0.004336831,0.003346336
0.5242879,1.004531,1.003386623,1.0078072,0.003123379,0.002945118,0.002717961
0.5767167,1.0042111,1.002414653,1.0072426,0.002684357,0.003484389,0.003208306
0.6291455,1.003887967,1.000718693,1.006773,0.004018026,0.003046028,0.004259888
0.6815743,1.002618773,1.00173198,1.006092667,0.003136134,0.003644697,0.00350316
0.7340031,1.002575193,1.001063857,1.005242473,0.004094058,0.003834639,0.003925508
0.7864318,1.001982453,1.000606927,1.0042411,0.003995495,0.003237244,0.003653153
0.8388606,1.002863293,1.000473607,1.004071193,0.003217137,0.004110903,0.003442421
0.9437183,1.00176058,1.000507073,1.003939807,0.002160259,0.003875633,0.003402238
1.048576,1.001874327,1.000935773,1.00201332,0.002422536,0.004089857,0.002597473
1.153433,1.001920913,1.00032577,1.0029146,0.004051097,0.003364613,0.003825556
1.258291,1.0009208,1.000416977,1.001664607,0.002611282,0.00414045,0.00343969
1.363149,1.00157344,1.000658153,1.00190246,0.00324337,0.004280102,0.003427446
1.468006,1.002748927,1.000550117,1.00244578,0.003294134,0.003896667,0.002846331
1.572864,1.00222114,1.001343377,1.001523153,0.002497828,0.002697582,0.001924706
1.677721,1.00146854,1.0006816,1.000990907,0.002701817,0.003755904,0.003390223
1.887437,1.00203898,1.000958107,1.0005045,0.002698125,0.003709176,0.00389395
2.097152,0.9999422,1.000774713,1.0005955,0.002492022,0.003215736,0.002580686
2.306867,1.000513987,0.999465877,0.999215653,0.003789756,0.00331452,0.003751857
2.516582,1.00090366,1.000650607,1.000592993,0.003912101,0.002305478,0.003318346
2.726297,0.99980006,1.000751583,1.00025278,0.003476103,0.002665393,0.002714717
2.936012,0.999671907,1.000030147,1.000535833,0.003143696,0.00244987,0.003377364
3.145727,1.001076613,1.00076405,1.000612953,0.002876794,0.002538072,0.003196892
3.355443,1.00033406,0.99974947,1.00087464,0.002852251,0.003540719,0.002813177
3.774873,1.000546673,1.000009867,1.000355507,0.00160627,0.003405471,0.001842755
4.194304,1.000608867,1.000912867,1.000609387,0.002037036,0.002661701,0.00168731
4.613734,1.000885753,1.000317177,0.99968792,0.002510131,0.003042791,0.002155789
5.033164,0.99927472,1.000291327,1.001238073,0.001767999,0.002335002,0.001745201
5.452594,0.99977392,1.00113539,1.001292027,0.002114081,0.003249448,0.001561633
5.872025,0.999879933,1.001061047,0.9999304,0.002129302,0.002938105,0.002402977
6.291455,1.000530013,1.000331033,1.000073967,0.00196573,0.002358849,0.002163657
6.710885,1.000014473,1.000028043,1.000673627,0.002108161,0.002815164,0.003039975
7.549746,1.00057518,0.999495487,0.998982793,0.001892104,0.002664396,0.001939048
8.388607,0.999876587,0.99990129,0.99982694,0.001334716,0.002825719,0.001351816
9.227468,1.000721193,0.999634,0.999818593,0.001678893,0.002490936,0.002132202
10.06633,0.999629447,0.999821123,1.00033224,0.001757917,0.002294543,0.002063559
10.90519,0.99977498,0.99963053,0.999520387,0.001168858,0.002007719,0.002461167
11.74405,0.99996152,1.00005341,1.00025194,0.0017239,0.002374272,0.001418584
12.58291,1.000196947,0.999877413,1.000326207,0.001117984,0.002554843,0.001478199
13.42177,0.999769633,0.999599907,1.000650153,0.00167661,0.002270969,0.002018185
15.09949,1.000319753,0.999671087,0.999624387,0.001382946,0.001985559,0.002179588
16.77721,0.99999472,0.999960453,1.0001708,0.001201444,0.001742643,0.001568034
18.45494,1.00032292,1.00004316,0.99978526,0.001497874,0.001488321,0.001699133
20.13266,0.999746673,0.99973072,0.99928624,0.001439745,0.001363864,0.00160456
21.81038,0.99992206,0.999593383,0.999560333,0.001297409,0.001025822,0.000865823
