delta_t,meanB,meanBR,meanR,stdB,stdBR,stdR
1.25e-08,2.7751247,1.087768525,2.02065055,0.335374010549,0.102637790366,0.0553205576703
2.5e-08,3.49155865,1.08232024,2.3395689,0.349753068925,0.0960314286301,0.0712899664644
3.75e-08,5.0268326,1.1062929325,3.21275185,0.556971788732,0.101771677182,0.0916800875699
5e-08,3.05166505,1.0954782275,2.29474785,0.363326415699,0.100674093199,0.0875992494136
6.25e-08,2.69806795,1.11099556,2.0160406,0.279646115299,0.0927582566086,0.0661129324167
7.5e-08,2.6997152,1.084360155,1.9997105,0.301986127365,0.108356626211,0.0528644518628
8.75e-08,2.609487,1.095323315,2.00068805,0.306241287296,0.0944370272255,0.087696944325
1e-07,2.59155985,1.0950443025,1.99815445,0.298126280964,0.0898823991817,0.0578360265773
1.125e-07,2.50219565,1.0853300175,2.0027504,0.220518080425,0.0896083749275,0.0460343170596
1.25e-07,2.61048945,1.09094074,2.0056546,0.309375972664,0.0877354718577,0.0627296899374
1.375e-07,2.61661025,1.0778735275,1.9926606,0.217686104786,0.094523820692,0.0586159034046
1.5e-07,2.6481963,1.1069828875,1.98349535,0.31616373208,0.0902770267469,0.0616495940411
1.625e-07,2.61288685,1.0960225025,1.98570145,0.25804974586,0.0878656021902,0.0816948267221
1.75e-07,2.55759805,1.10617007,1.94685525,0.245977394809,0.0752271879076,0.0539087064897
1.875e-07,2.64387765,1.1096139025,1.96441165,0.322632855935,0.0735659399485,0.0464073643555
2e-07,2.59042905,1.1168781575,1.97292515,0.256946767012,0.0860671215593,0.0747221407852
2.25e-07,2.64940505,1.10197398,1.9735189,0.147656819778,0.0524725962356,0.0589140325915
2.5e-07,2.49170475,1.1076046875,1.97643335,0.209519923158,0.061725582043,0.0512032647663
2.75e-07,2.6109842,1.08193437,1.9654179,0.196075013366,0.0699144280044,0.0467297545263
3e-07,2.6234562,1.0845055175,1.9978349,0.186821207114,0.0677814992382,0.0550785973659
3.25e-07,2.54111765,1.08391891,1.98838855,0.202700354051,0.0636073726514,0.0393913673683
3.5e-07,2.469839,1.0975000075,1.9925296,0.214419361316,0.0695859743268,0.0460244072807
3.75e-07,2.61644225,1.100131305,1.96443525,0.172821188657,0.0662599530753,0.04605188302
3.999999e-07,2.5079823,1.08987569,1.96917545,0.191029415382,0.0683626050421,0.0493934424509
4.5e-07,2.55253145,1.093738405,1.97982435,0.161446530297,0.0533717964684,0.039923450113
4.999999e-07,2.5912367,1.0909794275,1.96335015,0.165247530211,0.0490716081096,0.0285085693806
5.499999e-07,2.610461,1.0950797275,1.9931344,0.149298527966,0.0549563975483,0.0450071477306
5.999999e-07,2.5881606,1.106391175,1.9647124,0.163353109679,0.0457901597485,0.0401905643932
6.499999e-07,2.57658755,1.10713155,1.9734591,0.18271373945,0.0480801915392,0.0312121057026
6.999999e-07,2.5365461,1.0916820125,1.96391505,0.135693204019,0.042263346605,0.0359255844399
7.499999e-07,2.5489607,1.0992243575,1.9746335,0.143116522259,0.0403910121508,0.0311944926493
7.999998e-07,2.5303401,1.095539335,1.9622977,0.1485878522,0.0436181900398,0.0444630983942
8.999999e-07,2.5484778,1.097491,1.9629799,0.126901278602,0.0282835691409,0.0305465441513
9.999999e-07,2.5403887,1.098874575,1.9567015,0.136597124234,0.0387065701748,0.0232398922964
1.1e-06,2.54645845,1.101877775,1.96075165,0.104900694948,0.0295094140576,0.0319851810379
1.2e-06,2.5290115,1.0972269,1.9582295,0.0868609786069,0.0307614317229,0.0209684371485
1.3e-06,2.5625111,1.09304145,1.9583311,0.1135240638,0.0316901095446,0.0226741571197
1.4e-06,2.54203275,1.094190275,1.9615271,0.114975876982,0.0356033911117,0.0319695163834
1.5e-06,2.52957695,1.092793525,1.9548831,0.133362192806,0.0320189618999,0.0273611572323
1.6e-06,2.55589665,1.09805035,1.96178865,0.108928213853,0.0274605415529,0.0306836343175
1.8e-06,2.51514625,1.0910668,1.95208055,0.0844633079247,0.0232512401919,0.0266636625306
2e-06,2.4957298,1.092793475,1.95566805,0.106261627309,0.0234288955619,0.0239991887644
2.2e-06,2.53039905,1.0936533,1.94911775,0.109054545418,0.024651691433,0.0198329579082
2.4e-06,2.47482065,1.0954088,1.94706765,0.095652652334,0.0237186074636,0.0261977044381
2.6e-06,2.5146994,1.10135755,1.94734365,0.076375681283,0.0195289905806,0.0252802307076
2.799999e-06,2.46130675,1.087216475,1.94231185,0.114491228958,0.0230286750704,0.0303113395766
2.999999e-06,2.51562995,1.09176165,1.94699255,0.0929234684832,0.0229352984846,0.020655314298
3.199999e-06,2.49362245,1.093842225,1.94446835,0.0822490866147,0.0230682591167,0.019912509162
3.599999e-06,2.4808981,1.094888825,1.9375163,0.061766557835,0.0144872782535,0.0205017650706
4e-06,2.46193185,1.096989225,1.93902955,0.0675072714471,0.0179741248931,0.02342967591
4.399999e-06,2.4745903,1.094727575,1.9353399,0.0825185799733,0.0128752884276,0.0241932137012
4.799999e-06,2.4462725,1.0972957,1.93223505,0.0843273300268,0.0178596064083,0.0197886886162
5.199999e-06,2.4717005,1.0911834,1.93459255,0.0709985620456,0.0145242422742,0.0217101138193
5.599999e-06,2.4535829,1.096380075,1.9281542,0.0759764217885,0.0152773063977,0.0199885223206
5.999999e-06,2.4653172,1.09816855,1.92249715,0.0898351226373,0.0187590958777,0.0172606854739
6.399999e-06,2.4512453,1.09597365,1.92104265,0.0686443407588,0.0153078098736,0.0261614560017
7.199999e-06,2.437362,1.09701235,1.91919385,0.0653401645889,0.0136209763537,0.0192376367059
7.999999e-06,2.4449143,1.097733925,1.91500755,0.0763438609995,0.0133136953518,0.0191169444511
8.799999e-06,2.42260985,1.09381265,1.91612185,0.0638581487199,0.00894954485309,0.0189159387879
9.599999e-06,2.41783995,1.092806,1.9157014,0.0885731794786,0.0125906174213,0.0200371721143
1.04e-05,2.41044095,1.09342185,1.90921525,0.0681959990663,0.0124345138718,0.017005459964
1.12e-05,2.4030096,1.095080175,1.90805725,0.0514740992708,0.0118216776916,0.0180763375546
1.2e-05,2.40911905,1.095227225,1.90773195,0.0597913899525,0.0128888026257,0.018084501656
1.28e-05,2.40138115,1.094590525,1.90257145,0.0463560020626,0.0124294145337,0.0171479443038
1.44e-05,2.39725645,1.0964626,1.8995936,0.0611701542114,0.00977188471279,0.0181676296401
1.6e-05,2.38752315,1.095511175,1.8975168,0.0588658723194,0.0089445051481,0.0184015484745
1.76e-05,2.38922655,1.095696775,1.89588505,0.0617864771689,0.0101516233837,0.0194882073174
1.92e-05,2.3840092,1.09604715,1.89246985,0.0677050199399,0.00716134267631,0.0172053006346
2.08e-05,2.37174525,1.09620705,1.8894557,0.0568062431128,0.00763173174958,0.0190881365122
2.24e-05,2.36776115,1.09746395,1.8864024,0.060899034867,0.010170803272,0.0181527559076
2.4e-05,2.36937275,1.09556225,1.8846611,0.05130744162,0.00874426690109,0.0193680974592
2.559999e-05,2.36391085,1.09666415,1.88348245,0.0478270392187,0.0088850322581,0.0161189611218
2.88e-05,2.35724375,1.09590015,1.8800368,0.0567369466335,0.0072502023439,0.0180561799963
3.2e-05,2.35219055,1.0950783,1.87805345,0.0584329300142,0.00812450167764,0.0177566436341
3.52e-05,2.3455728,1.094312775,1.8741358,0.0521189054083,0.00851665496098,0.017018474813
3.839999e-05,2.34138425,1.095168475,1.8725326,0.0520325771079,0.00777111112386,0.0170323773396
4.159999e-05,2.33861775,1.0956725,1.8712842,0.0606901338439,0.00711609379857,0.0177019438102
4.479999e-05,2.32963905,1.095093,1.86950235,0.0519740765627,0.00654372981181,0.0181283470738
4.799999e-05,2.32218585,1.094965975,1.86806845,0.0584492270276,0.00851762273609,0.017184667784
5.119999e-05,2.3227371,1.095925775,1.866635,0.0626558248105,0.00735981918761,0.0183902188622
5.759999e-05,2.31092625,1.09669275,1.86354475,0.0576753807251,0.00571575278397,0.016775948712
6.399999e-05,2.30872225,1.094358875,1.86123445,0.0582499600308,0.00602148585562,0.0179939108214
7.039999e-05,2.30155755,1.0955943,1.85795365,0.0554207197612,0.00640130817568,0.0173605989104
7.679999e-05,2.29360815,1.095596,1.8557477,0.0519692244009,0.00614127538871,0.0177852234709
8.319999e-05,2.28992515,1.0948933,1.85321215,0.0557054783834,0.00654402379733,0.0175236529219
8.959998e-05,2.280009,1.095447025,1.85003205,0.0509438820979,0.006073569385,0.0173009459293
9.599998e-05,2.26725295,1.09508565,1.848142,0.0540675850676,0.00682967832167,0.0175499361851
