delta_t,meanB,meanR,stdB,stdR
1.25E-08,1.06952285,1.07080575,0.032157481,0.013565374
2.50E-08,1.0871872,1.0803696,0.026731704,0.017695829
3.75E-08,1.17551765,1.163622,0.035783474,0.01465174
5.00E-08,1.12435615,1.10019685,0.048902435,0.016788722
6.25E-08,1.08258725,1.0730166,0.027682907,0.01317774
7.50E-08,1.07207465,1.0776431,0.020545044,0.016123791
8.75E-08,1.0729589,1.07402585,0.037175472,0.017658543
1.00E-07,1.0928829,1.07297535,0.03831349,0.012361074
1.13E-07,1.0738933,1.0726429,0.028082595,0.009891253
1.25E-07,1.0693474,1.07158535,0.039149737,0.017159911
1.38E-07,1.077168,1.06797175,0.030639563,0.01543689
1.50E-07,1.08569025,1.07431425,0.026998705,0.014017203
1.63E-07,1.09091415,1.07013035,0.037009947,0.01470289
1.75E-07,1.08149075,1.0700378,0.040513962,0.014073106
1.88E-07,1.06666225,1.07113615,0.038785339,0.008564234
2.00E-07,1.0948895,1.07588095,0.031438599,0.013997312
2.25E-07,1.0812581,1.06795285,0.02937963,0.006962934
2.50E-07,1.0852588,1.0704635,0.026478396,0.011339648
2.75E-07,1.08224135,1.0704051,0.025743302,0.009123475
3.00E-07,1.0756321,1.07177975,0.022991689,0.008291746
3.25E-07,1.07575745,1.0727589,0.025232821,0.010011762
3.50E-07,1.0774585,1.07495895,0.029044419,0.011576163
3.75E-07,1.08101095,1.07094665,0.02367921,0.008800889
4.00E-07,1.07877445,1.07197315,0.017958754,0.01323907
4.50E-07,1.0822609,1.07141925,0.016953158,0.008199588
5.00E-07,1.0803164,1.06909625,0.013826749,0.005538718
5.50E-07,1.07841615,1.07032505,0.018388967,0.006154379
6.00E-07,1.0836278,1.0698747,0.016327879,0.004651434
6.50E-07,1.077844,1.0695196,0.016250089,0.006465943
7.00E-07,1.0752703,1.0700736,0.010973639,0.009400004
7.50E-07,1.0777671,1.07302085,0.015179301,0.006906558
8.00E-07,1.07600955,1.07132305,0.011891793,0.006571436
9.00E-07,1.08070755,1.07036475,0.010849021,0.003776926
1.00E-06,1.08075905,1.0720095,0.010395328,0.005976914
1.10E-06,1.0793774,1.06943215,0.012661156,0.00331598
1.20E-06,1.0758095,1.07145645,0.011703402,0.00586406
1.30E-06,1.07746715,1.07162705,0.011698746,0.003799166
1.40E-06,1.0820042,1.0714477,0.011727836,0.006702265
1.50E-06,1.0758514,1.07155375,0.01195349,0.005061027
1.60E-06,1.07454225,1.0697337,0.010742824,0.0052116
1.80E-06,1.07657745,1.07010775,0.00544652,0.003866161
2.00E-06,1.07726095,1.06945155,0.006153367,0.003003151
2.20E-06,1.07590075,1.0692078,0.006721925,0.003718412
2.40E-06,1.0788313,1.06842125,0.006504626,0.003395967
2.60E-06,1.0744908,1.0679452,0.008508433,0.003217252
2.80E-06,1.07103685,1.06857755,0.009454402,0.004078374
3.00E-06,1.0716431,1.0680684,0.007740473,0.002702277
3.20E-06,1.07173655,1.065683,0.008126524,0.003527974
3.60E-06,1.06972245,1.06752125,0.006998432,0.002287511
4.00E-06,1.07168515,1.06731715,0.005617212,0.002697029
4.40E-06,1.06963615,1.0662614,0.006693668,0.002220451
4.80E-06,1.06730465,1.06543945,0.006335098,0.002563704
5.20E-06,1.0646471,1.0664782,0.007634968,0.002625906
5.60E-06,1.06534835,1.06620155,0.005486805,0.002403161
6.00E-06,1.06526655,1.06566155,0.005397557,0.002194873
6.40E-06,1.06323575,1.06554585,0.005516509,0.002132632
