delta_t,meanB,meanR,stdB,stdR,stderrB,stderrR
1.25e-08,3.666103,1.14725805,10.998309,0.032992764756,49.1859331231,0.14754812952
2.5e-08,5.6414575,1.17832345,13.4300129504,0.0338300508549,60.0608437916,0.151292586788
3.75e-08,25.831496,1.337775,31.3581272725,0.0370683132837,140.237808457,0.165774536627
5e-08,21.9799565,1.18393895,24.0555353975,0.0378095620452,107.579624768,0.169089501865
6.25e-08,12.9276605,1.14623135,17.6242233769,0.0283024965635,78.8179230428,0.126572612498
7.5e-08,1.872067,1.12783105,8.16015086854,0.0251762637071,36.4933040974,0.112591674137
8.75e-08,1.774379,1.1482274,7.73433874854,0.0278309463608,34.5890144055,0.124463775882
1e-07,11.185201,1.1457765,20.9042306113,0.0367585513269,93.4865613284,0.164389239043
1.125e-07,11.0830585,1.14902585,20.7835944079,0.0226190307645,92.9470598259,0.101155380749
1.25e-07,12.989224,1.1474711,17.7058779009,0.0340371807424,79.1830931757,0.152218899805
1.375e-07,5.386642,1.1445133,12.8232974569,0.0280544203489,57.3475296185,0.125463181939
1.5e-07,11.004731,1.14126655,16.8193260691,0.0282510477018,75.2183128526,0.126342526193
1.625e-07,11.028837,1.13719305,20.5983981302,0.029649820862,92.1188368937,0.132598029936
1.75e-07,9.1505435,1.1510284,15.8534765328,0.0321344037278,70.8989024142,0.143709422303
1.875e-07,0.0,1.1426598,0.0,0.0307875487066,0.0,0.137686103537
2e-07,1.8055575,1.14319545,7.87024267925,0.0317110111625,35.1967952605,0.141815953189
2.25e-07,6.4786005,1.1530913,8.83047457863,0.0164680114467,39.4910828628,0.0736471860983
2.5e-07,8.2146545,1.14886625,10.7287033866,0.0292002959675,47.9802201657,0.130587693493
2.75e-07,7.3621995,1.14506775,9.02041650197,0.0173868513621,40.3405289675,0.0777563631206
3e-07,9.2776055,1.1354165,13.7938373319,0.0178634390404,61.6879158893,0.0798877280125
3.25e-07,8.303441,1.14105305,10.8117324585,0.0225373255966,48.3515374634,0.10078998413
3.5e-07,5.4159775,1.13850145,10.0524752687,0.0155598207364,44.9560360857,0.0695856337684
3.75e-07,8.2892625,1.14325715,10.8033888341,0.0224358504926,48.3142236408,0.100336173669
3.999999e-07,7.408124,1.15174215,10.7691068878,0.0211584787385,48.1609101163,0.0946235935195
4.5e-07,8.66896505,1.15015855,10.5191094062,0.0114450541915,47.0428873902,0.0511838383569
4.999999e-07,10.0506471,1.1475995,7.49076453409,0.0151466717417,33.4997174033,0.0677379752945
5.499999e-07,11.0173872,1.15270085,8.44533652601,0.0213918113452,37.7686931301,0.0956670886593
5.999999e-07,10.17723965,1.14623055,10.3650709937,0.013360422162,46.3540066671,0.0597496243248
6.499999e-07,6.41176855,1.1428168,7.68374499007,0.0155232205183,34.3627522391,0.0694219526173
6.999999e-07,6.48497295,1.14027035,6.60554846211,0.0153290635274,29.5409107799,0.0685536561574
7.499999e-07,8.29751355,1.14642045,7.61072047974,0.0119513902517,34.0361767009,0.0534482420567
7.999998e-07,9.71266525,1.1455944,7.49570444106,0.0145793630259,33.5218093389,0.065200893589
8.999999e-07,8.5340615,1.142727,6.21103769145,0.0105267953386,27.7766049778,0.0470772599245
9.999999e-07,8.75545155,1.1422135,5.41496356688,0.00916112969289,24.2164532625,0.040969817488
1.1e-06,7.3992444,1.141101,5.77021451874,0.00804237332508,25.8051838173,0.0359665869106
1.2e-06,9.3895229,1.13601585,7.6692154129,0.00750111715863,34.2977739947,0.0335460157478
1.3e-06,7.6290958,1.1408225,4.49571861758,0.0120962799715,20.1054648733,0.0540962085825
1.4e-06,9.9240125,1.1400141,5.69668383949,0.00745046487073,25.4763446229,0.0333194918299
1.5e-06,6.6576683,1.1388812,5.76822921122,0.010455496696,25.7963052522,0.0467584027015
1.6e-06,8.5773003,1.13762155,8.0155524025,0.00792018102997,35.8466400984,0.0354201263542
1.8e-06,8.87883305,1.14084315,5.38663622984,0.00775896107913,24.08976956,0.0346991288154
2e-06,7.15415545,1.14121895,4.1306575691,0.00903042484867,18.4728622326,0.0403852876547
2.2e-06,7.69227275,1.13836645,3.5326306738,0.00831908315546,15.798404652,0.0372040708922
2.4e-06,7.6777827,1.1393548,5.45852566083,0.00702583949148,24.4112688691,0.0314205094039
2.6e-06,8.0496047,1.1405007,4.25988367535,0.00599198699181,19.0507789487,0.026796980468
2.799999e-06,7.9593945,1.1390434,4.74951003312,0.00727766194873,21.2404545878,0.0325466936693
2.999999e-06,8.63393415,1.13741315,3.82129046102,0.0072996059844,17.0893304652,0.0326448303802
3.199999e-06,6.33053525,1.13759875,4.66865420037,0.00686277601904,20.878856311,0.0306912673859
3.599999e-06,6.63385385,1.13429475,1.74135787373,0.00577348681366,7.78758915764,0.0258198179651
4e-06,7.2849749,1.1343768,2.68065428356,0.00328936181652,11.9882504044,0.0147104732487
4.399999e-06,7.0802693,1.13336705,2.29836336189,0.00496906410177,10.2785934284,0.0222223302322
