,C,C_stderr,D,F,F_stderr,a,chisq,color,file,fit,lambdaem,lambdaex,n,r0,redchi,tf,tf_stderr,w0,wxy,wz
0,1.30179068803,0.00182142191676,404.98,,,,568.988147565,R,OR01562,fcs,,,,,4.06420105403,,,,0.371543365698,3.11059208326
1,1.30242002014,0.00189353431875,404.98,0.0512229983048,0.0124159206826,,512.152066887,R,OR01562,fcs_t,,,,,3.7112468615,3.26287919685e-06,1.22714173889e-06,,0.373642774094,3.09601494398
2,1.30148974391,0.00132111568474,404.98,,,0.652,299.517658844,R,OR01562,fcs_n,0.657,0.633,1.33,0.148248691659,2.13941184888,,,0.32537992227,,
3,1.30198290851,0.00132327153515,404.98,0.0492876746991,0.0103193700813,0.652,260.030431938,R,OR01562,fcs_nt,0.657,0.633,1.33,0.147848033383,1.8842784923,2.46342873988e-06,7.79076721897e-07,0.328280752994,,
4,1.30233566812,0.00162896440477,404.98,,,0.652,454.740330484,R,OR01562,fcs_nr,0.657,0.633,1.33,0.2067122393,3.24814521774,,,0.301783503559,,
5,1.30264571308,0.00166125364541,404.98,0.0480294369572,0.0198224906311,0.652,434.858887934,R,OR01562,fcs_ntr,0.657,0.633,1.33,0.206547006369,3.15115136184,1.2593351246e-06,7.37266041131e-07,0.303418781791,,
6,2.73393763953,0.00337833394311,404.98,,,,521.432993445,R,OR03125,fcs,,,,,3.72452138175,,,,0.371543365698,3.11059208326
7,2.73158723253,0.00316832083738,404.98,0.0448221145688,0.0154694915593,,413.941604759,R,OR03125,fcs_t,,,,,2.99957684608,1.72911308791e-06,8.53206209534e-07,,0.373642774094,3.09601494398
8,2.73362156145,0.00257905705577,404.98,,,0.652,303.981106238,R,OR03125,fcs_n,0.657,0.633,1.33,0.148248691659,2.17129361598,,,0.32537992227,,
9,2.73191568045,0.00230359098329,404.98,0.0400895841618,0.0129567173257,0.652,222.433840328,R,OR03125,fcs_nt,0.657,0.633,1.33,0.147848033383,1.61183942267,1.4007970241e-06,6.35573550875e-07,0.328280752994,,
10,2.73453606389,0.00268350591219,404.98,,,0.652,328.878025595,R,OR03125,fcs_nr,0.657,0.633,1.33,0.2067122393,2.34912875425,,,0.301783503559,,
11,2.73370656104,0.00260213043952,404.98,0.0297935235763,0.0209506585019,0.652,291.656164816,R,OR03125,fcs_ntr,0.657,0.633,1.33,0.206547006369,2.11345046968,8.5121707936e-07,7.9267468434e-07,0.303418781791,,
12,4.96842238534,0.0064115268723,404.98,,,,604.238805298,R,OR06250,fcs,,,,,4.31599146641,,,,0.371543365698,3.11059208326
13,4.97484978365,0.00689600096952,404.98,0.0436584681388,0.00858962178068,,521.415383996,R,OR06250,fcs_t,,,,,3.7783723478,5.48759740118e-06,1.7557332177e-06,,0.373642774094,3.09601494398
14,4.96789530181,0.00454832233712,404.98,,,0.652,304.179940264,R,OR06250,fcs_n,0.657,0.633,1.33,0.148248691659,2.17271385903,,,0.32537992227,,
15,4.9739603409,0.00476797557468,404.98,0.0379089508058,0.00624191277627,0.652,253.396342208,R,OR06250,fcs_nt,0.657,0.633,1.33,0.147848033383,1.83620537832,5.13090347688e-06,1.35684368335e-06,0.328280752994,,
