,dz,dz_G,volG_c,vol_c,vol_cr,vol_f,vol_fr
0,-2.0,-4.0,4.18568384597,12.2814810971,22.6015502791,6.05834851912,11.6873880395
1,-1.92,-3.84,3.89574084469,11.0853556463,20.0281904454,5.5519870483,10.3787363228
2,-1.84,-3.68,3.63652183887,9.9872470245,17.6770767831,5.08870666806,9.1978513014
3,-1.76,-3.52,3.40451181736,8.98236438697,15.5377338806,4.66593335593,8.13579613671
4,-1.68,-3.36,3.19665668656,8.06595138195,13.5997575659,4.28121705567,7.18408093387
5,-1.6,-3.2,3.01029912085,7.23329257663,11.8528497937,3.9322312755,6.33468608064
6,-1.52,-3.04,2.84312406657,6.47972013443,10.2868810861,3.61677142575,5.58010582675
7,-1.44,-2.88,2.69311237825,5.80062040132,8.89199160522,3.33275107509,4.9134215805
8,-1.36,-2.72,2.55850131847,5.1914398826,7.6587306591,3.07819493461,4.32842731375
9,-1.28,-2.56,2.43775086273,4.64768992997,6.57833555546,2.8512269636,3.81986768233
10,-1.2,-2.4,2.3295149242,4.16494938981,5.64320581672,2.65005167426,3.383886074
11,-1.12,-2.24,2.23261675723,3.73886472542,4.84785691737,2.4729268732,3.0189399679
12,-1.04,-2.08,2.14602791889,3.36514810155,4.18957279222,2.31812745436,2.72656566436
13,-0.96,-1.92,2.06885026745,3.03957612777,3.65215977754,2.1839035777,2.49706969386
14,-0.88,-1.76,2.00030056059,2.75799560921,3.21192727954,2.0684435683,2.31413842814
15,-0.8,-1.6,1.93969728586,2.51634647242,2.85132953975,1.96986092579,2.16639026355
16,-0.72,-1.44,1.88644941524,2.31071154349,2.55720062098,1.88622917435,2.04582003681
17,-0.64,-1.28,1.84004682463,2.13739120169,2.3191446929,1.81567517659,1.94667177121
18,-0.56,-1.12,1.80005216155,1.99297859321,2.12836350674,1.75650543231,1.86475511062
19,-0.48,-0.96,1.7660939798,1.87440070037,1.97704895914,1.70730717677,1.7970181584
20,-0.4,-0.8,1.73786099012,1.77892083324,1.85839613988,1.66698284418,1.74127997662
21,-0.32,-0.64,1.71509730252,1.70414343242,1.76690665853,1.63473133993,1.69607436688
22,-0.24,-0.48,1.69759855817,1.64805484787,1.69858315318,1.61001085269,1.66058655907
23,-0.16,-0.32,1.68520886919,1.60908154887,1.65095232181,1.59249593952,1.63469194598
24,-0.08,-0.16,1.67781850187,1.58612254928,1.62307952799,1.5820250524,1.61911574804
25,0.0,0.0,1.67536225534,1.5785388307,1.61414590968,1.5785388307,1.61414590968
26,0.08,0.16,1.67781850187,1.58612254928,1.62307952799,1.5820250524,1.61911574804
27,0.16,0.32,1.68520886919,1.60908154887,1.65095232181,1.59249593952,1.63469194598
28,0.24,0.48,1.69759855817,1.64805484787,1.69858315318,1.61001085269,1.66058655907
29,0.32,0.64,1.71509730252,1.70414343242,1.76690665853,1.63473133993,1.69607436688
30,0.4,0.8,1.73786099012,1.77892083324,1.85839613988,1.66698284418,1.74127997662
31,0.48,0.96,1.7660939798,1.87440070037,1.97704895914,1.70730717677,1.7970181584
32,0.56,1.12,1.80005216155,1.99297859321,2.12836350674,1.75650543231,1.86475511062
33,0.64,1.28,1.84004682463,2.13739120169,2.3191446929,1.81567517659,1.94667177121
34,0.72,1.44,1.88644941524,2.31071154349,2.55720062098,1.88622917435,2.04582003681
35,0.8,1.6,1.93969728586,2.51634647242,2.85132953975,1.96986092579,2.16639026355
36,0.88,1.76,2.00030056059,2.75799560921,3.21192727954,2.0684435683,2.31413842814
37,0.96,1.92,2.06885026745,3.03957612777,3.65215977754,2.1839035777,2.49706969386
38,1.04,2.08,2.14602791889,3.36514810155,4.18957279222,2.31812745436,2.72656566436
39,1.12,2.24,2.23261675723,3.73886472542,4.84785691737,2.4729268732,3.0189399679
40,1.2,2.4,2.3295149242,4.16494938981,5.64320581672,2.65005167426,3.383886074
41,1.28,2.56,2.43775086273,4.64768992997,6.57833555546,2.8512269636,3.81986768233
42,1.36,2.72,2.55850131847,5.1914398826,7.6587306591,3.07819493461,4.32842731375
43,1.44,2.88,2.69311237825,5.80062040132,8.89199160522,3.33275107509,4.9134215805
44,1.52,3.04,2.84312406657,6.47972013443,10.2868810861,3.61677142575,5.58010582675
45,1.6,3.2,3.01029912085,7.23329257663,11.8528497937,3.9322312755,6.33468608064
46,1.68,3.36,3.19665668656,8.06595138195,13.5997575659,4.28121705567,7.18408093387
47,1.76,3.52,3.40451181736,8.98236438697,15.5377338806,4.66593335593,8.13579613671
48,1.84,3.68,3.63652183887,9.9872470245,17.6770767831,5.08870666806,9.1978513014
49,1.92,3.84,3.89574084469,11.0853556463,20.0281904454,5.5519870483,10.3787363228
50,2.0,4.0,4.18568384597,12.2814810971,22.6015502791,6.05834851912,11.6873880395
