,C,C_stderr,D,F,F_stderr,a,chisq,color,file,fit,lambdaem,lambdaex,n,r0,redchi,tf,tf_stderr,w0,wxy,wz
0,1.59809927372,0.00169136356398,404.98,,,,325.589766917,R,BR01562,fcs,,,,,2.32564119226,,,,0.377019308867,2.47440404517
1,1.68931998324,0.00182832041024,404.98,0.051852007749,0.00410346258496,,201.131801343,R,BR01562,fcs_t,,,,,1.45747682133,1.21642954273e-05,1.77429853396e-06,,0.384993845079,2.29531457234
2,1.22660595931,0.00116267912866,404.98,,,0.652,261.172481147,R,BR01562,fcs_n,0.657,0.633,1.33,0.143051406157,1.86551772248,,,0.330334667551,,
3,1.26502775942,0.00116760697119,404.98,0.0467551517407,0.00613920114105,0.652,191.169830116,R,BR01562,fcs_nt,0.657,0.633,1.33,0.138197680393,1.38528862403,4.99035565805e-06,1.05790506473e-06,0.3391803182,,
4,0.83746998654,0.000770098362412,404.98,,,0.652,245.796060523,R,BR01562,fcs_nr,0.657,0.633,1.33,0.189032661342,1.75568614659,,,0.317360403983,,
5,0.856905960088,0.000760066185026,404.98,0.0476873812881,0.00740273760493,0.652,189.307737948,R,BR01562,fcs_ntr,0.657,0.633,1.33,0.184477531593,1.37179520252,3.41902913558e-06,8.24888277006e-07,0.325249317938,,
6,3.35741777287,0.00372231930833,404.98,,,,419.744576557,R,BR03125,fcs,,,,,2.99817554684,,,,0.377019308867,2.47440404517
7,3.53362392037,0.00320198102481,404.98,0.052216166937,0.00659459182301,,220.993401794,R,BR03125,fcs_t,,,,,1.60140146228,4.52073288142e-06,8.93136646596e-07,,0.384993845079,2.29531457234
8,2.57666512536,0.00249339287591,404.98,,,0.652,319.780592848,R,BR03125,fcs_n,0.657,0.633,1.33,0.143051406157,2.28414709177,,,0.330334667551,,
9,2.65256226798,0.00226607339982,404.98,0.0454887535298,0.0100663557104,0.652,220.382417455,R,BR03125,fcs_nt,0.657,0.633,1.33,0.138197680393,1.59697403953,2.09991911319e-06,6.75990840911e-07,0.3391803182,,
10,1.75918849999,0.00164173811537,404.98,,,0.652,297.422170876,R,BR03125,fcs_nr,0.657,0.633,1.33,0.189032661342,2.12444407768,,,0.317360403983,,
11,1.79774967721,0.00151626809832,404.98,0.0425289060292,0.0114330879854,0.652,219.271278021,R,BR03125,fcs_ntr,0.657,0.633,1.33,0.184477531593,1.5889223045,1.6939508611e-06,6.49258559609e-07,0.325249317938,,
12,6.10081475798,0.00616630940488,404.98,,,,370.688202412,R,BR06250,fcs,,,,,2.64777287437,,,,0.377019308867,2.47440404517
13,6.45877754219,0.00635983962612,404.98,0.0529739985664,0.00318005956142,,185.907168056,R,BR06250,fcs_t,,,,,1.34715339171,1.49339023289e-05,1.72792772703e-06,,0.384993845079,2.29531457234
14,4.68242613674,0.00404659850674,404.98,,,0.652,271.012256267,R,BR06250,fcs_n,0.657,0.633,1.33,0.143051406157,1.93580183048,,,0.330334667551,,
