,C,C_stderr,D,F,F_stderr,a,chisq,color,file,fit,lambdaem,lambdaex,n,r0,redchi,tf,tf_stderr,w0,wxy,wz
0,1.31085656717,0.00181379681513,404.98,,,,556.451180303,R,BR01562,fcs,,,,,3.97465128788,,,,0.371697095404,3.08702580387
1,1.31150460136,0.00188466042868,404.98,0.0511672130668,0.0121155376525,,498.706906608,R,BR01562,fcs_t,,,,,3.61381816383,3.3339347765e-06,1.22715633024e-06,,0.373836922152,3.07227568585
2,1.31049991371,0.00130716844425,404.98,,,0.652,289.205644104,R,BR01562,fcs_n,0.657,0.633,1.33,0.147172022103,2.06575460074,,,0.326396612669,,
3,1.31102474686,0.00130595290312,404.98,0.0491257102458,0.00973498702694,0.652,247.85307009,R,BR01562,fcs_nt,0.657,0.633,1.33,0.146744741432,1.79603673978,2.62480345266e-06,7.89780021826e-07,0.329456545053,,
4,1.31132795771,0.00159280796191,404.98,,,0.652,428.834122244,R,BR01562,fcs_nr,0.657,0.633,1.33,0.205392272232,3.06310087317,,,0.302904919938,,
5,1.3116455823,0.00162217937094,404.98,0.0482851366393,0.0187064457207,0.652,407.853120927,R,BR01562,fcs_ntr,0.657,0.633,1.33,0.205211457544,2.95545739802,1.31137884131e-06,7.24081791143e-07,0.304633774766,,
6,2.75300689633,0.00337464411691,404.98,,,,513.098800382,R,BR03125,fcs,,,,,3.6649914313,,,,0.371697095404,3.08702580387
7,2.75059608466,0.00315300734585,404.98,0.0450020552282,0.0151511113383,,403.788515824,R,BR03125,fcs_t,,,,,2.92600373786,1.75297325208e-06,8.44990291628e-07,,0.373836922152,3.07227568585
8,2.75262073873,0.00260171758295,404.98,,,0.652,305.081957857,R,BR03125,fcs_n,0.657,0.633,1.33,0.147172022103,2.17915684184,,,0.326396612669,,
9,2.7507964583,0.00230484107343,404.98,0.0407242089572,0.0125379895844,0.652,218.989249577,R,BR03125,fcs_nt,0.657,0.633,1.33,0.146744741432,1.58687862012,1.45716182331e-06,6.3205072153e-07,0.329456545053,,
10,2.75351147879,0.00265446586962,404.98,,,0.652,317.371033871,R,BR03125,fcs_nr,0.657,0.633,1.33,0.205392272232,2.26693595622,,,0.302904919938,,
11,2.75263404668,0.00255866515941,404.98,0.030572089206,0.0199051913853,0.652,277.666346255,R,BR03125,fcs_ntr,0.657,0.633,1.33,0.205211457544,2.01207497286,8.85342355974e-07,7.63807209806e-07,0.304633774766,,
12,5.00306064083,0.00639043402891,404.98,,,,591.951228722,R,BR06250,fcs,,,,,4.2282230623,,,,0.371697095404,3.08702580387
13,5.00966702935,0.00686679331968,404.98,0.0437621321793,0.00839602337874,,507.535308964,R,BR06250,fcs_t,,,,,3.67779209394,5.58987854824e-06,1.74805681974e-06,,0.373836922152,3.07227568585
