delta_t,meanB,meanBR,meanR,stdB,stdBR,stdR
1.25E-08,2.5959855,1.062264175,1.323916,0.201528309,0.064498899,0.014829384
2.50E-08,3.598008,1.081098375,1.429945,0.142038094,0.061291196,0.021571794
3.75E-08,5.4397965,1.06490885,1.8723335,0.436881122,0.064843915,0.013286985
5.00E-08,3.0359545,1.0839955,1.5194565,0.265482903,0.062140498,0.020637512
6.25E-08,2.1641335,1.06810435,1.3630445,0.237320277,0.065582526,0.015595283
7.50E-08,2.3455425,1.030991175,1.351542,0.163064583,0.060202655,0.021930593
8.75E-08,2.3216115,1.162580175,1.3374885,0.151669585,0.063341156,0.016356311
1.00E-07,2.010773,1.00371115,1.336121,0.143376402,0.049709995,0.017478072
1.13E-07,2.0501239,1.092230725,1.349276,0.178282096,0.076636059,0.024611489
1.25E-07,2.040963,1.057671325,1.3667265,0.120374159,0.053229952,0.03038325
1.38E-07,2.005456,1.07200375,1.3349875,0.141869701,0.064742727,0.020169721
1.50E-07,2.011227,1.0653345,1.321805,0.289017406,0.052958938,0.009442816
1.63E-07,1.837141,1.088304,1.3204445,0.118274888,0.045868291,0.014288749
1.75E-07,1.8343825,1.085211825,1.3535325,0.129636885,0.048860725,0.019778626
1.88E-07,1.833989,1.100228,1.357637,0.198995768,0.056400078,0.023449712
2.00E-07,1.845668,1.042483725,1.3454035,0.170907172,0.053181932,0.02980943
2.25E-07,2.0240905,1.0791599,1.3487725,0.115510013,0.041324952,0.0153861
2.50E-07,1.9141575,1.050594925,1.3139725,0.10355132,0.041068798,0.013906332
2.75E-07,1.8493283,1.036933275,1.335734,0.198635628,0.037773872,0.019274188
3.00E-07,2.008609,1.05440945,1.329606,0.120297228,0.045087934,0.013756941
3.25E-07,1.8845805,1.071607175,1.3197975,0.192997111,0.038007472,0.010197352
3.50E-07,1.923365,1.06917045,1.347799,0.105961037,0.039077167,0.009788732
3.75E-07,1.8086715,1.09640085,1.3255135,0.187183247,0.0338462,0.007767205
4.00E-07,1.8903061,1.023646075,1.3333185,0.242476326,0.048699789,0.009417192
4.50E-07,2.037015,1.0319518,1.3348015,0.061969563,0.035975008,0.013729097
5.00E-07,1.8575925,1.06587825,1.336433,0.108420238,0.032633685,0.008823846
5.50E-07,1.7711585,1.06057625,1.3212355,0.119688422,0.027357369,0.006776289
6.00E-07,1.920603,1.0532042,1.3334775,0.093670431,0.028149917,0.009867467
6.50E-07,1.935286,1.057603275,1.3289045,0.093380962,0.023522102,0.006426426
7.00E-07,2.1337635,1.07133745,1.3275815,0.108141045,0.034771556,0.008090228
7.50E-07,1.8001985,1.090842425,1.3367695,0.076328517,0.024741314,0.012309032
8.00E-07,1.799151,1.051390925,1.3312165,0.107408558,0.026589512,0.012658661
9.00E-07,1.854472,1.066648975,1.32144,0.097380733,0.023394324,0.008335271
1.00E-06,1.908814,1.075295675,1.3282445,0.045552255,0.02006596,0.008870774
1.10E-06,1.8407835,1.05197335,1.328117,0.092566437,0.016013035,0.006237009
1.20E-06,1.890931,1.0657938,1.329765,0.056217191,0.02393527,0.008959233
1.30E-06,1.889474,1.059480325,1.3246335,0.085538814,0.022700485,0.007817604
1.40E-06,1.9124505,1.06475365,1.3281,0.039197566,0.021641032,0.010252662
1.50E-06,1.978744,1.086784925,1.327643,0.077419033,0.022266655,0.008883076
1.60E-06,1.976571,1.0682245,1.3339755,0.073730031,0.020715388,0.008541104
1.80E-06,1.8972285,1.077628,1.331379,0.045223277,0.010689019,0.006864206
2.00E-06,1.8388365,1.08323975,1.332705,0.054639904,0.013242874,0.006047072
2.20E-06,1.922004,1.0656205,1.3230955,0.058462796,0.01985218,0.007469599
2.40E-06,1.945069,1.0779846,1.327404,0.046121538,0.015533013,0.006665982
2.60E-06,1.9627315,1.067009,1.319988,0.044790457,0.014283644,0.005806717
2.80E-06,1.9074095,1.0749312,1.3249665,0.045139842,0.018323693,0.007222637
3.00E-06,1.863045,1.07202915,1.322399,0.063084263,0.019929608,0.004277526
3.20E-06,1.9061095,1.06019,1.327283,0.02957529,0.010845536,0.006228546
3.60E-06,1.901127,1.06365225,1.328116,0.025024225,0.010971496,0.007397659
4.00E-06,1.9312,1.0607476,1.3277615,0.051702146,0.013040552,0.005357003
4.40E-06,1.8832735,1.0740755,1.3268725,0.03982927,0.009760596,0.005643388
4.80E-06,1.851517,1.070629,1.3248285,0.029483634,0.011746205,0.004292712
5.20E-06,1.8796385,1.06217925,1.325393,0.047237436,0.01182498,0.004736301
5.60E-06,1.886004,1.06919775,1.3218675,0.032178191,0.009815447,0.004789872
6.00E-06,1.857253,1.06183775,1.3238465,0.036760907,0.009805531,0.005286859
6.40E-06,1.8353985,1.0661225,1.3216215,0.02991764,0.007510229,0.005350925
7.20E-06,1.8734995,1.067064,1.3202625,0.028885402,0.005537802,0.005805474
8.00E-06,1.8573245,1.067841,1.316394,0.036420909,0.006739749,0.005138576
8.80E-06,1.8676405,1.07077275,1.3158865,0.023865795,0.008040878,0.005752431
9.60E-06,1.8528,1.0635145,1.3176325,0.020294228,0.007716177,0.00521649
1.04E-05,1.8319865,1.068172,1.314106,0.029816144,0.008991085,0.003619727
1.12E-05,1.869242,1.066573,1.311353,0.020374267,0.006958343,0.005564562
1.20E-05,1.8700185,1.072145,1.3158885,0.02524281,0.0074486,0.003477342
1.28E-05,1.8396135,1.06747175,1.311869,0.037048099,0.008506124,0.004135094
1.44E-05,1.8435255,1.06837775,1.308955,0.016847671,0.00565081,0.004552686
1.60E-05,1.8147905,1.0676605,1.309985,0.020355283,0.005678843,0.004863508
1.76E-05,1.8303825,1.0673365,1.305929,0.016151391,0.006327516,0.003734826
1.92E-05,1.81934,1.07000025,1.303939,0.021058591,0.005056707,0.004701297
2.08E-05,1.812656,1.0695625,1.3055075,0.01771793,0.004919971,0.004367064
2.24E-05,1.8173045,1.066636,1.302786,0.022769842,0.004932819,0.00394276
2.40E-05,1.8035245,1.06619425,1.300941,0.014187827,0.003417097,0.005009469
2.56E-05,1.814157,1.06697975,1.301229,0.01976414,0.005955649,0.00406915
2.88E-05,1.7985345,1.07078425,1.297272,0.01219471,0.005286657,0.003970111
3.20E-05,1.7859195,1.0667625,1.296286,0.010384584,0.00347584,0.003681368
3.52E-05,1.7724625,1.066317,1.293819,0.014832975,0.002697059,0.003626699
3.84E-05,1.76216,1.0619135,1.2917415,0.013649774,0.003060254,0.004096899
4.16E-05,1.7602175,1.06214425,1.2902575,0.013588061,0.003753469,0.003574915
4.48E-05,1.741953,1.06416375,1.2888715,0.01033436,0.003303059,0.004053764
4.80E-05,1.7274895,1.06449725,1.2863555,0.012679376,0.003590943,0.003365196
5.12E-05,1.7207285,1.06502775,1.2854735,0.020199939,0.003442715,0.003848028
5.76E-05,1.7083305,1.06534675,1.280849,0.010010244,0.002328187,0.003554117
6.40E-05,1.6920065,1.0636805,1.2763835,0.012126922,0.002701349,0.00381186
7.04E-05,1.68291,1.061192,1.274132,0.007180379,0.002903683,0.003767143
7.68E-05,1.662771,1.06078675,1.2711465,0.011105834,0.003627285,0.003760289
8.32E-05,1.649845,1.06022375,1.268231,0.011018831,0.003040567,0.003355703
8.96E-05,1.6406655,1.0617175,1.263822,0.006610272,0.003122829,0.003597114
9.60E-05,1.623754,1.06188475,1.2623075,0.004693606,0.003442683,0.003345711
0.0001024,1.613414,1.06233775,1.2588655,0.008816796,0.003079171,0.003151731
0.0001152,1.595291,1.0590725,1.252758,0.008353609,0.002221036,0.002978271
0.000128,1.5641005,1.057921,1.2478305,0.008692201,0.002020353,0.00311001
0.0001408,1.5492125,1.05713625,1.242218,0.00745983,0.001917126,0.003107719
0.0001536,1.525668,1.05547675,1.2365655,0.004763729,0.002643505,0.002793826
0.0001664,1.507862,1.053329,1.2327155,0.007436547,0.001804991,0.003281038
0.0001792,1.4987625,1.05533725,1.2279375,0.005956254,0.001974939,0.003065778
0.000192,1.4860195,1.05412525,1.2229785,0.003480825,0.002389952,0.002820502
