delta_t,meanB,meanBR,meanR,stdB,stdBR,stdR
1.25e-08,1.3055130175438596,1.0220000578947368,1.0641192280701754,0.09291852933382605,0.027888856285890773,0.007846976331331397
2.5e-08,1.4657870175438596,1.0196909473684208,1.0809808596491224,0.10237201395520802,0.03085884508437476,0.008966650133237091
3.75e-08,1.7791314736842103,1.0148854377192977,1.1747781929824561,0.1567111462616341,0.027513659382346577,0.008297810018499368
5e-08,1.3309909298245608,1.0147197254385962,1.0978641052631581,0.10371696741509821,0.025709186812154283,0.009011531506585492
6.25e-08,1.240876807017544,1.0137225438596495,1.067020140350877,0.08005575763057185,0.024238965832189336,0.008499959094718066
7.5e-08,1.234027685964912,1.011586714912281,1.0657821754385968,0.09905973717424943,0.024836858927218774,0.00862294318241261
8.75e-08,1.240449807017544,1.0180759719298247,1.065433631578947,0.08631719841669222,0.029417515979323846,0.007627104220743973
1e-07,1.2108445964912282,1.0158040631578948,1.0629709999999999,0.08647528544666849,0.027399523302272997,0.008181491128621939
1.125e-07,1.2263465228070176,1.019305785964912,1.0634656842105263,0.08019620371227495,0.028979455835355362,0.009664087325252277
1.25e-07,1.2012821070175437,1.0137658263157896,1.0667202280701753,0.08253257445558036,0.025381668992982064,0.010610412922529473
1.375e-07,1.2068130526315788,1.0172400210526318,1.0659359298245616,0.08349215753872283,0.02599948683876001,0.009520124576915357
1.5e-07,1.2096458070175438,1.0190277061403508,1.0649972456140349,0.09167953032767516,0.0264693017494523,0.007423786229058685
1.625e-07,1.1886035210526316,1.0171233798245614,1.0636554736842108,0.08518782282826935,0.02545240378574267,0.008671356368345803
1.75e-07,1.1903807192982454,1.0170844605263154,1.0637452105263159,0.08410643069135977,0.02775063131226127,0.008158417570455951
1.875e-07,1.190941992982456,1.02035447631579,1.064562210526316,0.0964478880286807,0.026265557667136386,0.008896916327083075
2e-07,1.174489649122807,1.0165967631578945,1.0646851754385969,0.06836042618678066,0.02801627613171123,0.010508485515471304
2.25e-07,1.1841451578947366,1.0165704842105263,1.0657257017543862,0.04710287536043508,0.02053279441050247,0.006181469679799269
2.5e-07,1.1946241929824561,1.0156274570175436,1.0635952456140352,0.049624017989113006,0.021778094502794,0.005675917931112671
2.75e-07,1.1779541333333337,1.0166147894736846,1.0639424210526316,0.07417973395509173,0.020928475554383204,0.006441587866649597
3e-07,1.188357403508772,1.0176345350877194,1.0633488070175439,0.056356568719979884,0.020366244686520513,0.006482245848736348
3.25e-07,1.1872127719298242,1.0181897701754385,1.0629909473684211,0.06968687539977002,0.02037423594209604,0.005188063663466099
3.5e-07,1.1727676105263158,1.0178124754385967,1.0655501052631582,0.06656393510811302,0.019184885869494694,0.00641457218134003
