delta_t,meanB,meanBR,meanR,stdB,stdBR,stdR
1.25E-08,2.199601152,1.005906715,1.344575217,0.476948885,0.088263707,0.032258908
2.50E-08,2.319931565,1.005714695,1.445431935,0.429255143,0.108264628,0.03691709
3.75E-08,4.868855087,0.99766412,1.803048891,0.78012602,0.110713745,0.043588142
5.00E-08,3.800341196,0.99660018,1.438925065,0.513340587,0.120919987,0.027239725
6.25E-08,2.151388043,1.00320082,1.331501717,0.511167118,0.101024579,0.038526618
7.50E-08,2.020007891,1.0124382,1.335003435,0.404625744,0.103225999,0.029638964
8.75E-08,1.975625978,1.004216605,1.3344265,0.356891347,0.10983182,0.033486257
1.00E-07,1.834035126,0.99884118,1.331752435,0.460763062,0.120122279,0.035486215
1.13E-07,1.897244739,0.996302415,1.324123652,0.405096299,0.093387142,0.037601819
1.25E-07,1.919520696,0.99306887,1.316746978,0.425041212,0.106588687,0.03759204
1.38E-07,1.880783083,0.999244925,1.323055,0.499907308,0.112332258,0.03445614
1.50E-07,1.985621024,1.003430175,1.327110413,0.485639785,0.089554507,0.039677574
1.63E-07,1.823224435,1.005156885,1.327972304,0.382418116,0.111329059,0.035466133
1.75E-07,1.847367457,0.9973773,1.329346283,0.345989909,0.09816614,0.041922487
1.88E-07,1.865713043,1.006707885,1.328212174,0.352373648,0.106300402,0.035997199
2.00E-07,1.770440002,0.99795886,1.326551326,0.46181863,0.121569068,0.034348165
2.25E-07,1.762358276,0.996496475,1.324844239,0.349417785,0.086561022,0.024596998
2.50E-07,1.81123087,0.99914938,1.326039804,0.293305608,0.082022888,0.023791561
2.75E-07,1.734190365,1.00277825,1.324131652,0.290136114,0.083510921,0.029225672
3.00E-07,1.717332043,1.00188255,1.326277457,0.232372469,0.074884066,0.025431204
3.25E-07,1.73078463,1.004954215,1.324035761,0.341594302,0.085285334,0.028310423
3.50E-07,1.70389923,1.007571285,1.32015313,0.316071815,0.079321849,0.024472163
3.75E-07,1.770313826,1.00013692,1.322885848,0.337783516,0.078699143,0.02862402
4.00E-07,1.776705848,1.00783903,1.321695804,0.280596476,0.079939284,0.022610293
4.50E-07,1.754337804,1.00466065,1.318205217,0.192162591,0.067671729,0.016080206
5.00E-07,1.722702152,1.00700074,1.320400935,0.176216141,0.066425108,0.017195453
5.50E-07,1.735247065,1.001206875,1.325297783,0.190421543,0.067530069,0.017910447
6.00E-07,1.745256696,0.999153245,1.318893587,0.196929604,0.052376071,0.016750215
6.50E-07,1.723684087,1.000761325,1.322401783,0.187306152,0.054957146,0.018249431
7.00E-07,1.770626391,1.002320805,1.318243239,0.181701379,0.057606447,0.021263328
7.50E-07,1.792765348,1.00251672,1.322808435,0.163963348,0.053372912,0.016185489
8.00E-07,1.723052217,0.99986124,1.321739804,0.214609844,0.058569814,0.018654746
9.00E-07,1.732922261,0.99902194,1.319242783,0.13082829,0.052269471,0.012292123
1.00E-06,1.75397913,1.001150865,1.322032022,0.133662324,0.052239897,0.011859144
