delta_t,meanB,meanBR,meanR,stdB,stdBR,stdR
1.25e-08,1.3191970999999998,1.0124528350000002,1.0647832000000002,0.0901261995975088,0.028844784493860853,0.006631902152474769
2.5e-08,1.5196016,1.0162196750000003,1.085989,0.06352136681180588,0.02741025632430087,0.00964719946927605
3.75e-08,1.8879592999999997,1.01298177,1.1744667,0.19537917739004335,0.028999080327263834,0.005942120329478305
5e-08,1.4071909,1.0167990999999998,1.1038913,0.11872756373096348,0.027790075625517816,0.009229376014119293
6.25e-08,1.2328267,1.0136208699999998,1.0726089,0.1061328543675803,0.02932939734815736,0.0069744227065758075
7.5e-08,1.2691085000000002,1.0061982349999998,1.0703084,0.07292469844743962,0.026923445592592226,0.00980765952916395
8.75e-08,1.2643223,1.032516035,1.0674977,0.06782870028395056,0.02832702616342342,0.00731476456285505
1e-07,1.2021545999999999,1.0007422300000002,1.0672241999999998,0.06411987622134031,0.022230985639172633,0.007816431548987018
1.125e-07,1.21002478,1.018446145,1.0698552000000001,0.07973017715943947,0.034272687376035685,0.011006592495409282
1.25e-07,1.2081925999999998,1.0115342649999999,1.0733452999999997,0.0538329603536718,0.023805158242727036,0.013587802295073326
1.375e-07,1.2010912,1.0144007499999999,1.0669975,0.0634460588654646,0.02895382794131892,0.009020173349221158
1.5e-07,1.2022454,1.0130668999999999,1.0643610000000001,0.1292525132120842,0.023683957026772354,0.004222955860531788
1.625e-07,1.1674282,1.0176608000000003,1.0640889,0.05289413789977108,0.020512923441991397,0.006390122603675152
1.75e-07,1.1668765,1.0170423649999998,1.0707065,0.05797537739980653,0.021851180320551895,0.00884527043396639
1.875e-07,1.1667977999999999,1.0200456,1.0715274000000001,0.08899361278294077,0.025222881868771457,0.01048702994369713
2e-07,1.1691335999999999,1.008496745,1.0690807,0.07643201081117781,0.023783683236043886,0.01333118255857297
2.25e-07,1.2048181,1.01583198,1.0697545,0.05165764804256965,0.018481080526273345,0.00688087295697285
2.5e-07,1.1828315000000003,1.0101189849999999,1.0627944999999999,0.046309558240713145,0.018366524647773594,0.006219100598157239
2.75e-07,1.16986566,1.0073866550000001,1.0671468,0.08883255343757941,0.016892988972158695,0.008619678936016137
3e-07,1.2017218,1.0108818899999998,1.0659212,0.05379855567540824,0.020163937296567347,0.006152290854632905
3.25e-07,1.1769161000000001,1.0143214349999998,1.0639595000000002,0.086310931941962,0.016997458400574917,0.00456039435246559
3.5e-07,1.184673,1.01383409,1.0695598,0.04738721620859364,0.01747584015676787,0.004377654161762881
3.75e-07,1.1617343,1.0192801700000003,1.0651027000000002,0.08371089285039314,0.015136480687435241,0.0034735995753684542
3.999999e-07,1.17806122,1.0047292149999998,1.0666636999999999,0.10843870943401897,0.021779207944281967,0.0042114962198724565
4.5e-07,1.207403,1.0063903600000002,1.0669602999999999,0.02771363119477489,0.016088512802661412,0.006139838972644118
4.999999e-07,1.1715185,1.0131756500000002,1.0672865999999999,0.048487004638872046,0.014594227533908733,0.003946143971017814
5.499999e-07,1.1542317,1.01211525,1.0642471,0.05352628932973031,0.012234587256483164,0.003030448430513196
5.999999e-07,1.1841206000000002,1.01064084,1.0666955,0.04189069002344073,0.01258902566386294,0.004412865355979037
6.499999e-07,1.1870572,1.0115206550000002,1.0657809,0.04176123580977935,0.010519403599799517,0.0028739849495082567
6.999999e-07,1.2267527,1.0142674900000002,1.0655163,0.048362145717596075,0.015550312434060607,0.0036180600893296008
7.499999e-07,1.1600397,1.0181684850000001,1.0673539,0.03413515057546984,0.011064652199200602,0.005504766342906826
7.999998e-07,1.1598301999999998,1.0102781850000002,1.0662432999999998,0.04803456737350716,0.01189119127103231,0.005661125154066103
8.999999e-07,1.1708944000000001,1.0133297949999998,1.0642880000000001,0.04354998785809245,0.010462259971462905,0.0037276467107277915
9.999999e-07,1.1817628,1.015059135,1.0656489,0.020371587929270466,0.008973770013003172,0.003967130914149415
1.1e-06,1.1681567,1.0103946700000002,1.0656234,0.041396969065500444,0.007161246854361315,0.002789275110131678
1.2e-06,1.1781862,1.01315876,1.065953,0.025141092067768274,0.010704178158009134,0.00400669080414252
1.3e-06,1.1778948000000002,1.0118960650000002,1.0649267000000002,0.0382541206115106,0.010151965679624557,0.0034961388716697257
1.4e-06,1.1824901,1.0129507299999998,1.0656200000000002,0.017529684449242067,0.009678163668077748,0.004585129681917404
1.5e-06,1.1957488,1.017356985,1.0655286000000002,0.034622843923629396,0.009957950769825846,0.003972632230650099
1.6e-06,1.1953141999999999,1.0136449000000003,1.0667951000000002,0.032973072097698106,0.009264203165410396,0.0038196980364945308
1.8e-06,1.1794457,1.0155255999999997,1.0662758,0.020224464215647383,0.004780274828919348,0.003069766140929974
2e-06,1.1677673,1.0166479499999999,1.066541,0.02443570781070194,0.00592239323647967,0.0027043328937096382
2.2e-06,1.1844008,1.0131241,1.0646191000000003,0.026145357021085017,0.008878164759115471,0.0033405061427873696
2.4e-06,1.1890138000000001,1.0155969200000001,1.0654808,0.020626178971394602,0.0069465744004940915,0.002981117602510901
2.6e-06,1.1925463,1.0134018,1.0639976,0.020030901467732332,0.0063878397256036425,0.002596842821581627
2.799999e-06,1.1814819,1.0149862400000003,1.0649933,0.020187150945341403,0.008194604816243416,0.0032300612703166855
2.999999e-06,1.172609,1.01440583,1.0644797999999998,0.028212139986183275,0.008912791684096526,0.001912967579443047
3.199999e-06,1.1812219,1.012038,1.0654566,0.013226471709794714,0.004850270930576964,0.0027854904487360716
3.599999e-06,1.1802253999999999,1.0127304499999998,1.0656232,0.01119117366677868,0.004906602250794324,0.0033083337739714313
4e-06,1.18624,1.01214952,1.0655523,0.02312190281529614,0.005831912145908935,0.002395724360188342
4.399999e-06,1.1766547,1.0148151000000003,1.0653745,0.017812191151287356,0.004365071418659704,0.002523799724621614
4.799999e-06,1.1703033999999999,1.0141258000000002,1.0649656999999997,0.013185481797795622,0.005253062541032623,0.0019197591541649359
5.199999e-06,1.1759277,1.0124358500000001,1.0650786,0.021125223715028417,0.005288291721104278,0.002118138154134423
5.599999e-06,1.1772008,1.0138395499999997,1.0643735,0.01439052468675137,0.004389601331271431,0.0021420958078480195
5.999999e-06,1.1714505999999998,1.01236755,1.0647692999999998,0.01643997722139541,0.004385166558695373,0.0023643550092995944
6.399999e-06,1.1670797,1.0132245,1.0643243,0.013379575382275771,0.0033586767260336235,0.0023930063957290377
7.199999e-06,1.1746998999999998,1.0134128,1.0640525,0.012917944646498545,0.002476580537757654,0.0025962868581880373
7.999999e-06,1.1714649000000001,1.0135682,1.0632788000000002,0.0162879258866806,0.0030141074731999647,0.002298041070129083
8.799999e-06,1.1735281,1.01415455,1.0631773,0.010673107873998113,0.0035959901067022008,0.002572565336390926
9.599999e-06,1.17056,1.0127029000000003,1.0635265,0.009075854725589251,0.003450779041028278,0.002332885305796285
1.04e-05,1.1663973000000003,1.0136344000000002,1.0628212,0.013334185142332458,0.004020935256877443,0.0016187911415621193
1.12e-05,1.1738484000000002,1.0133146,1.0622706,0.009111649369900022,0.003111865524086813,0.0024885477773191416
1.2e-05,1.1740037,1.014429,1.0631777,0.01128892768202545,0.003331115188641761,0.0015551147899753196
1.28e-05,1.1679226999999999,1.01349435,1.0623738,0.016568413503108878,0.003804054314478191,0.001849270439930305
1.44e-05,1.1687051,1.0136755499999999,1.061791,0.007534507514761666,0.0025271190805935487,0.0020360231825791823
1.6e-05,1.1629581,1.0135321000000002,1.061997,0.009103159401548457,0.0025396557817940696,0.002175026850408985
1.76e-05,1.1660764999999997,1.0134672999999998,1.0611858,0.007223121420134086,0.0028297511569040762,0.001670264817326879
1.92e-05,1.1638680000000001,1.01400005,1.0607878000000002,0.009417688400026847,0.0022614279443528484,0.002102483949998168
2.08e-05,1.1625312,1.0139125,1.0611015,0.007923699272435861,0.0022002781074218457,0.0019530102022262967
2.24e-05,1.1634609,1.0133272000000002,1.0605572000000003,0.010182982917102418,0.002206023608214584,0.001763256010907093
2.4e-05,1.1607049,1.0132388499999998,1.0601882,0.00634498911661793,0.001528172217879904,0.002240302693834085
2.559999e-05,1.1628314,1.01339595,1.0602458,0.008838792001173025,0.0026634473427308496,0.001819779206387405
2.88e-05,1.1597069000000002,1.0141568499999998,1.0594544,0.005453640260413212,0.002364264965586564,0.0017754875499422398
3.2e-05,1.1571839000000002,1.0133524999999999,1.0592572,0.004644127182797709,0.0015544429388047586,0.00164635772540481
3.52e-05,1.1544925000000001,1.0132634,1.0587638,0.006633508065119055,0.0012061616558322566,0.0016219089246933625
3.839999e-05,1.152432,1.0123827,1.0583483,0.006104364668005991,0.0013685872314178412,0.0018321890213621956
4.159999e-05,1.1520435,1.0124288499999998,1.0580515000000001,0.00607676583800956,0.0016786025817625855,0.0015987504652071125
4.479999e-05,1.1483905999999997,1.01283275,1.0577743,0.004621666089193398,0.0014771729714220846,0.001812898400352296
4.799999e-05,1.1454979,1.0128994500000001,1.0572711,0.005670389536001934,0.0016059184436016593,0.0015049614912016856
5.119999e-05,1.1441457,1.0130055500000004,1.0570947,0.009033687331870599,0.0015396290291820526,0.0017208902376386445
5.759999e-05,1.1416661,1.0130693499999999,1.0561698000000002,0.004476717222474548,0.0010411966805075733,0.0015894493889394444
6.399999e-05,1.1384013,1.0127361,1.0552767,0.0054233243688718786,0.0012080801670419192,0.0017047154044004
7.039999e-05,1.136582,1.0122384,1.0548264,0.003211163122608414,0.0012985665712623102,0.00168471749560571
7.679999e-05,1.1325542,1.01215735,1.0542293,0.0049666797722422,0.0016221712694718786,0.001681652464095948
8.319999e-05,1.129969,1.01204475,1.0536462,0.004927770956527935,0.001359782808944163,0.0015007158825040825
8.959998e-05,1.1281330999999999,1.0123435,1.0527643999999998,0.002956203357348749,0.0013965713909428188,0.001608678103288551
9.599998e-05,1.1247508,1.01237695,1.0524615000000002,0.0020990442491763016,0.0015396145775810497,0.0014962475898059114
0.0001024,1.1226828000000002,1.0124675499999998,1.0517731,0.003942991042343392,0.0013770470389569047,0.0014094968925116203
0.0001152,1.1190582,1.0118145,1.0505516,0.0037358475825439905,0.000993277680208329,0.0013319232860792025
0.000128,1.1128201,1.0115842000000002,1.0495661,0.0038872706478968195,0.0009035292247625349,0.0013908385564112152
0.0001408,1.1098425,1.0114272499999999,1.0484436000000001,0.0033361373248114467,0.0008573649091839331,0.0013898141746291242
0.0001536,1.1051335999999998,1.01109535,1.0473131,0.002130404196390924,0.0011822114140457136,0.0012494368691534385
0.0001664,1.1015723999999998,1.0106657999999997,1.0465431,0.0033257248894038253,0.0008072167366946633,0.0014673247391085475
0.0001792,1.0997524999999997,1.01106745,1.0455875,0.002663717674604436,0.00088321936544666,0.0013710577850696403
0.000192,1.0972039,1.01082505,1.0445957,0.0015566724414596733,0.0010688188094808116,0.0012613670401591596
0.0002048,1.0928301999999999,1.01078,1.0437199000000001,0.002642403027549003,0.0007408020653318802,0.001229577606334805
0.0002304,1.0887389,1.0103037000000001,1.0422413,0.002522897915096862,0.0008641730787290402,0.0013551498109065278
0.000256,1.0842642999999998,1.0103071,1.0407521999999998,0.0015895962411883163,0.0007121668273655906,0.0012269081302200113
0.0002816,1.0799052,1.0097075500000001,1.0394470999999998,0.0014680687177376932,0.0006941819268030598,0.0011848931977186707
0.0003072,1.0773389999999998,1.0094599499999999,1.0381506,0.0010630785483678594,0.0008141367498768311,0.0011464569071709429
0.0003327999,1.0724984999999998,1.00925975,1.0369251,0.0019740342068971803,0.0008812081408498139,0.0010993222866839344
0.0003583999,1.0690794000000001,1.0088444,1.0358119000000001,0.0020739921022028956,0.0006056145143570748,0.0011182760347963967
0.0003839999,1.0672283,1.0088006,1.0348241999999999,0.0013207202618268445,0.0006019726239622676,0.0010925982610273484
0.0004095999,1.0636983999999998,1.0088202499999999,1.0337311999999999,0.002218328749306553,0.00046960695001245755,0.0010287287105937878
0.0004607999,1.0598658999999997,1.0081671,1.0319498,0.0013115997445867483,0.000554691436746583,0.0009913490606239482
0.0005119999,1.0556207000000002,1.0079417000000004,1.0303109000000001,0.001318956561073948,0.0005320188060585937,0.0008588711719460723
0.0005631999,1.0522611,1.00763315,1.0288143,0.001234983761026804,0.0005678198019618565,0.0007695826206457805
0.0006143999,1.0496535000000002,1.00730085,1.0274535,0.0009449840474844139,0.00043741276558874906,0.0007940278647503646
0.0006655999,1.0470179000000002,1.0071025,1.0262874,0.001382894316280181,0.00043051149810426363,0.000650719171378865
0.0007167999,1.0432475,1.0067544500000003,1.0251877,0.0014680322373844437,0.0005314522062236396,0.0006834159860582573
0.0007679999,1.0421057999999999,1.00657875,1.0242088,0.0015873329707404911,0.00045166645602701507,0.0006398893341820609
0.0008191998,1.0394325000000002,1.0064385999999998,1.0231533000000002,0.0016577057187571072,0.0005069164033644816,0.0005914490764216063
0.0009215999,1.0361302,1.0059477,1.0215485000000002,0.0013182162038148247,0.00037948426844864263,0.0007052750172804833
0.001024,1.0329685999999998,1.00558385,1.0200354,0.0014563719442504614,0.0004498410024664201,0.0005621886160356065
0.0011264,1.0311252999999998,1.0052458,1.0187505,0.0010740710451362162,0.0003893359217950507,0.0005247826693022573
0.0012288,1.0279759,1.0051041,1.0176812,0.0008124432841743748,0.0004991691997709535,0.00048661500182382346
0.0013312,1.0262772,1.0047276499999998,1.0166457,0.0007043287300685572,0.0003434691070533038,0.000493266875028086
0.0014336,1.0251164999999998,1.004625,1.0157124,0.0007604197853817288,0.00047362157890026786,0.0004545303510218148
0.001536,1.0229044,1.0043826499999997,1.0149671,0.0008821885512745969,0.0004366094679458766,0.0004111241783208546
0.0016384,1.021455,1.0041276,1.0142373,0.0011934264954323872,0.00028694780013096904,0.00045089001984963063
0.0018432,1.0195856,1.0037657000000002,1.0129044999999999,0.0011003321498529541,0.00025514174491839635,0.00039968318703691456
0.002048,1.0179991,1.0036131999999998,1.011846,0.0008536543152822577,0.0002719944117072688,0.0002971884923748005
0.0022528,1.0166065,1.0033269,1.0109529000000002,0.0008167665823232672,0.0003964203450884065,0.0003319076528192568
0.0024576,1.0150569999999999,1.0031339,1.0101562,0.0009094901868629481,0.0003395919463120225,0.00029305316923725923
0.0026624,1.0142683,1.00292355,1.0094554,0.0008964510081426891,0.00040245241644198336,0.00028027600682184337
0.002867199,1.0132493,1.0027244499999999,1.0088884999999999,0.0007636428550049164,0.0003097241474280165,0.00025121833133751335
0.003071999,1.0118559999999999,1.0025594500000001,1.0083335999999998,0.0010184119009516595,0.0003461051104794589,0.00027118856908061174
0.003276799,1.0114682,1.0024428,1.0078042,0.0009531292462200261,0.00028209087188350206,0.0002732576805873678
0.003686399,1.0102138000000003,1.0023352,1.0069953999999999,0.0005739081459606954,0.0002477929781087401,0.00021906811726038234
0.004096,1.0091863,1.00208905,1.0063042999999998,0.0006695250630110883,0.0002666179804514374,0.0002175205967259077
0.004505599,1.0085532000000001,1.0019178,1.0057227999999998,0.0005956402941373423,0.0001957834518032681,0.00021028875386006906
0.004915199,1.0078043,1.0018827,1.0052653999999999,0.0008699171282369339,0.0003328532859984915,0.00021518745316582356
0.005324799,1.0072676,1.0017142500000003,1.0048729,0.0007463033163533393,0.00028220415925356724,0.0002654590175526138
0.005734399,1.0066639,1.0016706,1.0045182000000001,0.0007149561455082735,0.00024149542438727247,0.00028220942578167165
0.006143999,1.0060839000000001,1.0014632,1.0042699000000002,0.0005146591979164646,0.00021080028462978722,0.00024569104582789565
0.006553599,1.0055436,1.0013245000000002,1.0040141,0.00044499262915245237,0.00034459113453484116,0.00026974930954497777
0.007372799,1.0051552999999998,1.00123045,1.0035491,0.00048212281630310435,0.00023373970030784633,0.00022645372595744446
0.008191999,1.004483,1.0011475500000002,1.0031735000000002,0.0005690209134996695,0.00019090114588445674,0.00020261453551015135
0.009011199,1.0042388,1.0010451,1.0028982,0.00024864625474755854,0.00019928871016693954,0.00016101416086789888
0.009830398,1.00367,1.00090375,1.0026281,0.0004563939088112282,0.00025315447359269827,0.00018286139559787695
0.0106496,1.003522,1.0008096499999999,1.0024397,0.0005968100200231036,0.0002773325215332864,0.0001558120983749325
0.0114688,1.0031856000000001,1.0006658,1.0022702,0.0006398748627661485,0.0003040124339562339,0.00018881991420393988
0.012288,1.0028226,1.0006871499999999,1.0021189000000001,0.0007542599286718102,0.00016895836025480776,0.00017478469612641998
0.0131072,1.0022940999999999,1.0005923700000001,1.0019767,0.0006342817118599955,0.00025465914690032363,0.00013358371906785753
0.0147456,1.0025538,1.0006382999999999,1.0017893,0.0004796936105474082,0.0002321680641259726,0.00015499809676247124
0.016384,1.0021798,1.0004569499999998,1.0016551999999999,0.00041904625043062216,0.00019633172820512335,0.00018542480955900006
0.0180224,1.0021212,1.000458535,1.0014971,0.0003860064248169511,0.00021718019770459332,0.00016823641104112021
0.0196608,1.0017046,1.000463685,1.0014245999999998,0.0006009474519456967,0.0002718127025637363,0.00012082317658461701
0.0212992,1.0019658,1.00048675,1.0012975,0.00045824792416334487,0.00026766637349507114,0.0001701165776754135
0.0229376,1.0019066999999997,1.000469835,1.0012512,0.0005199525074466028,0.0002589271659656451,0.00013143195958365987
0.024576,1.0015066000000001,1.0003524000000001,1.0011498,0.00046204181628938196,0.00022495452873860547,0.00013911419769383854
0.02621439,1.0018262,1.0003846500000002,1.0010699,0.0005501793889268927,0.000247978481929367,0.00015515118433322684
0.0294912,1.0015420000000002,1.0003232,1.0009421,0.00034437218238410713,0.00018240109648792567,0.00017836448637545535
0.032768,1.0013774000000002,1.0002500600000002,1.0008124999999999,0.00032801073153176805,0.0001868978555254289,0.00015929234130992323
