delta_t,meanB,meanBR,meanR,stdB,stdBR,stdR
1.25E-08,2.283584581,1.122999576,1.343274516,0.504301711,0.046496371,0.029907976
2.50E-08,2.300283194,1.118471353,1.440027258,0.490684125,0.056413068,0.03933185
3.75E-08,4.908534871,1.109532503,1.790999871,0.736398044,0.05947675,0.042500904
5.00E-08,3.938832935,1.121620568,1.436253516,0.505687862,0.06400328,0.019416452
6.25E-08,2.195124516,1.103934132,1.322081452,0.539632499,0.054975306,0.034436486
7.50E-08,2.02399629,1.108892218,1.327549806,0.42205108,0.056274112,0.02906556
8.75E-08,2.023472581,1.130375339,1.325594581,0.378058411,0.058234076,0.031184085
1.00E-07,1.811641671,1.117933834,1.326348935,0.468596651,0.063709742,0.033821772
1.13E-07,1.890602484,1.115582971,1.316579548,0.387992043,0.047695863,0.032899465
1.25E-07,1.988315935,1.118029927,1.311010581,0.454299849,0.052873359,0.04012734
1.38E-07,1.876314674,1.136376334,1.318465548,0.490318565,0.057445671,0.033779934
1.50E-07,2.003701745,1.096684413,1.322073839,0.519295278,0.046348424,0.036128281
1.63E-07,1.778297839,1.114386002,1.321482032,0.386766214,0.056118876,0.032949744
1.75E-07,1.878860419,1.135767369,1.315275742,0.380229662,0.049116719,0.031373908
1.88E-07,1.904749839,1.102290013,1.328674419,0.370528389,0.056661435,0.037070348
2.00E-07,1.780842552,1.112495866,1.320433129,0.453417037,0.061989849,0.028797162
2.25E-07,1.754632355,1.10467165,1.320514839,0.314738871,0.040791469,0.024815812
2.50E-07,1.864305226,1.116179219,1.328382677,0.321741355,0.042151918,0.02241093
2.75E-07,1.710293574,1.132204339,1.321597355,0.290191447,0.045013168,0.030215391
3.00E-07,1.732187161,1.11287804,1.325055258,0.245783518,0.041389611,0.026190553
3.25E-07,1.737062097,1.131372197,1.317952613,0.360442922,0.045624997,0.029074847
3.50E-07,1.709604535,1.117544605,1.312884,0.328123764,0.04323071,0.023123117
3.75E-07,1.829256742,1.126335961,1.314864097,0.345338439,0.041282485,0.024687883
4.00E-07,1.797204065,1.104989152,1.320557129,0.293948319,0.04218801,0.022498112
4.50E-07,1.796136774,1.121680587,1.315897839,0.204308937,0.037551107,0.015265737
5.00E-07,1.753421581,1.12062861,1.317609581,0.182608665,0.035632008,0.016655241
5.50E-07,1.727720645,1.112090021,1.322246774,0.214487695,0.037465278,0.016214986
6.00E-07,1.753834,1.11293579,1.314615032,0.183879262,0.026703352,0.015911857
6.50E-07,1.733949903,1.105547684,1.321052581,0.202064202,0.029552816,0.016919798
7.00E-07,1.787732613,1.106776576,1.31462629,0.187156207,0.030286983,0.020328518
7.50E-07,1.784032806,1.11365364,1.322734258,0.176451223,0.029476419,0.014493947
8.00E-07,1.751861645,1.114957513,1.316911226,0.208011497,0.033104666,0.018094051
9.00E-07,1.755961484,1.113962798,1.316831903,0.133237692,0.028884345,0.012173248
1.00E-06,1.765269129,1.114928182,1.320439323,0.136927855,0.029889844,0.010736667
1.10E-06,1.73917571,1.122574379,1.317120323,0.149348999,0.028776681,0.009642119
1.20E-06,1.745234387,1.119780952,1.31885571,0.115647339,0.025288349,0.013892758
1.30E-06,1.727781452,1.122416484,1.319863194,0.144873854,0.025260156,0.011139906
1.40E-06,1.724420613,1.113479145,1.314425355,0.165311545,0.028103152,0.011281854
1.50E-06,1.719337742,1.114663242,1.313311613,0.138185226,0.027849739,0.012792228
1.60E-06,1.73099971,1.113940016,1.31639229,0.170470433,0.028657244,0.011589919
1.80E-06,1.742236323,1.124851145,1.316706065,0.100593328,0.025964583,0.008289108
2.00E-06,1.74219329,1.109614177,1.314563548,0.091943157,0.025955339,0.008537865
2.20E-06,1.748865194,1.120775887,1.315380581,0.131982802,0.028321852,0.011124807
2.40E-06,1.718340452,1.120611839,1.315552129,0.118600954,0.024200487,0.010977166
2.60E-06,1.741014484,1.116617532,1.310502806,0.096046222,0.021133284,0.007453327
2.80E-06,1.773562742,1.115833194,1.312193323,0.114895853,0.024173982,0.010922504
3.00E-06,1.741191419,1.11403071,1.31351029,0.11831063,0.023787321,0.008263158
3.20E-06,1.746911806,1.117380419,1.314088613,0.113777304,0.024577525,0.009060053
3.60E-06,1.73184429,1.120225887,1.31049871,0.074756045,0.0243899,0.005903414
4.00E-06,1.73841029,1.118264032,1.310358194,0.065279117,0.023174694,0.007655813
4.40E-06,1.746572065,1.115440371,1.310148968,0.085835501,0.022398603,0.005626017
4.80E-06,1.754474935,1.114939371,1.307547742,0.072197488,0.022190079,0.005280949
5.20E-06,1.720720968,1.114862355,1.308477161,0.062111391,0.023077664,0.00707045
5.60E-06,1.716799839,1.115043855,1.308140645,0.072707602,0.022896097,0.00779295
6.00E-06,1.709149839,1.113358,1.305539806,0.052217068,0.021479157,0.007356254
6.40E-06,1.710247548,1.111822419,1.305123645,0.057360278,0.022778576,0.00572435
7.20E-06,1.710569742,1.113905419,1.30316971,0.049437596,0.021997852,0.005443232
8.00E-06,1.713405097,1.113122048,1.303811581,0.04646481,0.022059592,0.005659317
8.80E-06,1.720258,1.113686516,1.301485129,0.054416336,0.023366608,0.005236062
9.60E-06,1.685218161,1.115374161,1.30104629,0.052084742,0.021754531,0.005727821
1.04E-05,1.695618968,1.112550871,1.298314129,0.055253865,0.019859286,0.00449673
1.12E-05,1.703148258,1.111525145,1.299674226,0.05854947,0.020731832,0.004827464
1.20E-05,1.695585226,1.11387629,1.297030065,0.045167468,0.023265365,0.005785486
1.28E-05,1.700039097,1.111478629,1.298137935,0.04696643,0.023604618,0.005334457
1.44E-05,1.684283129,1.114601452,1.295199161,0.038729049,0.021357117,0.004808643
1.60E-05,1.679318903,1.112250226,1.29356829,0.032335571,0.021432417,0.005305458
1.76E-05,1.680913968,1.110605161,1.291740452,0.038375355,0.0224317,0.003702926
1.92E-05,1.677591097,1.111428419,1.291292129,0.043038835,0.02207326,0.004646412
2.08E-05,1.659108645,1.110400758,1.290001613,0.032581008,0.020852027,0.005328604
2.24E-05,1.658225968,1.112011758,1.288435581,0.044755592,0.02077172,0.00477318
2.40E-05,1.64698829,1.110642919,1.286788484,0.035251233,0.020392885,0.004932423
2.56E-05,1.657217645,1.112458242,1.285487806,0.039660866,0.021282583,0.005095698
2.88E-05,1.651044,1.111981887,1.284815355,0.027196521,0.021164477,0.004033111
3.20E-05,1.635050097,1.109316032,1.282079871,0.024213099,0.021009553,0.004231167
3.52E-05,1.630155065,1.108465226,1.280293,0.026717109,0.020980297,0.003412937
3.84E-05,1.623565032,1.108849258,1.277958935,0.031400698,0.020203517,0.00411298
4.16E-05,1.609602516,1.108220016,1.276726258,0.023340041,0.020870247,0.004471319
4.48E-05,1.603352226,1.107728323,1.274716677,0.019695401,0.020343447,0.003629085
4.80E-05,1.599096806,1.106856984,1.272481194,0.022337875,0.020296424,0.004146337
5.12E-05,1.597087161,1.106665694,1.270391516,0.022905498,0.019663943,0.003885188
5.76E-05,1.579179452,1.105263258,1.267543774,0.014915323,0.019467899,0.003738959
6.40E-05,1.567083903,1.104420032,1.263823968,0.021329661,0.019582966,0.003733222
7.04E-05,1.548741516,1.103259177,1.260861258,0.016412974,0.019236229,0.003743816
7.68E-05,1.535118806,1.101822855,1.257992935,0.016676691,0.019552904,0.00350557
8.32E-05,1.530255323,1.100367677,1.254336516,0.019760283,0.018580267,0.003738839
8.96E-05,1.521853581,1.100110258,1.251661806,0.020041371,0.019213994,0.003293206
9.60E-05,1.512817065,1.098489984,1.248224839,0.019597789,0.018543546,0.003328004
0.0001024,1.504150774,1.097598629,1.245710581,0.015116057,0.018988451,0.003616297
0.0001152,1.479703871,1.096645355,1.240462032,0.013909908,0.018023483,0.003400068
0.000128,1.464952581,1.094053371,1.23523529,0.014613316,0.017953734,0.003175994
0.0001408,1.449039742,1.093822355,1.230149323,0.016891589,0.017596161,0.002987228
0.0001536,1.437002065,1.091378935,1.225029226,0.014636246,0.016832419,0.003471619
0.0001664,1.420682613,1.089801919,1.220481968,0.010798123,0.017029455,0.003309951
0.0001792,1.411121839,1.088380048,1.216429387,0.019303406,0.016495424,0.003313157
0.000192,1.397776226,1.087056161,1.212058032,0.013821935,0.015910619,0.003236656
0.0002048,1.384556742,1.085840597,1.207674387,0.014917195,0.01621142,0.003361342
0.0002304,1.363449774,1.083063339,1.200298774,0.009272923,0.015241078,0.003247345
0.000256,1.348152129,1.080730371,1.193164742,0.008696655,0.014833536,0.003417117
0.0002816,1.331275742,1.078332484,1.186731129,0.008938945,0.014587797,0.003329103
0.0003072,1.316127516,1.075005113,1.180559419,0.010859492,0.014029716,0.003327398
0.0003328,1.300180355,1.073752145,1.174615387,0.009426245,0.013571893,0.003196776
0.0003584,1.288502065,1.071027435,1.169650355,0.008090134,0.013263185,0.003215498
0.000384,1.278662323,1.069867855,1.164566677,0.011354885,0.012984743,0.003041875
0.0004096,1.265472065,1.067783323,1.159789065,0.008129239,0.012603056,0.003217284
0.0004608,1.248073935,1.064865742,1.151039129,0.00748892,0.012051676,0.002879685
0.000512,1.230868806,1.062041016,1.143156677,0.007787133,0.011521359,0.002685765
0.0005632,1.217332129,1.059058952,1.136172968,0.007086445,0.011046165,0.002786403
0.0006144,1.205487839,1.057139823,1.12988229,0.007054681,0.010607344,0.002652401
0.0006656,1.194560645,1.054361226,1.124059677,0.005743746,0.010037434,0.002621366
0.0007168,1.183022871,1.05269929,1.118648839,0.006100071,0.009892555,0.002502766
0.000768,1.172358968,1.050575565,1.113689355,0.008403984,0.009476026,0.002563471
0.0008192,1.165861194,1.048909919,1.109413581,0.007315922,0.009186425,0.002379576
0.0009216,1.150784323,1.045625903,1.101472742,0.005608804,0.008421072,0.002428114
0.001024,1.137904032,1.043053016,1.094574129,0.004499852,0.008052173,0.002379964
0.0011264,1.126824968,1.040262968,1.088490968,0.005001323,0.007387583,0.002235569
0.0012288,1.118961581,1.038335403,1.083037065,0.005698399,0.007200333,0.002207901
0.0013312,1.110387355,1.036264065,1.078303516,0.003944103,0.006874345,0.002121277
0.0014336,1.106560645,1.034268048,1.07392029,0.004923712,0.006468044,0.002015518
0.001536,1.09830029,1.032901194,1.07006471,0.003773664,0.006091054,0.002025236
0.0016384,1.092560806,1.031179484,1.066741226,0.003982964,0.005745545,0.001871771
0.0018432,1.08294,1.028708468,1.060656774,0.00444744,0.005327338,0.001900058
0.002048,1.075416742,1.026672887,1.055684742,0.003664887,0.0049349,0.001835749
0.0022528,1.068497452,1.024900839,1.051405677,0.003984183,0.004610741,0.001626503
0.0024576,1.064495097,1.023403952,1.047516806,0.003608547,0.004204339,0.001616253
0.0026624,1.05893971,1.021992597,1.044316129,0.003918771,0.003868212,0.001531308
0.002867199,1.054025903,1.020556339,1.041486871,0.003930218,0.003674256,0.001463249
0.003071999,1.049854516,1.019437677,1.038911839,0.0044817,0.00336512,0.001389751
0.003276799,1.047270871,1.018319774,1.036688129,0.003393204,0.003380323,0.001386515
0.003686399,1.042732065,1.016595548,1.032865161,0.003474573,0.003080134,0.00124173
0.004096,1.03840029,1.015133371,1.029730742,0.00270896,0.00292246,0.001190624
0.004505599,1.034396258,1.013957887,1.026970903,0.002803744,0.00261141,0.001176425
0.004915199,1.030329742,1.012884855,1.024754452,0.002495581,0.002443351,0.001226029
0.005324799,1.028517871,1.011729645,1.022778032,0.002539351,0.002227695,0.00117689
0.005734399,1.026555968,1.010930887,1.021162129,0.002812039,0.002033439,0.001138105
0.006143999,1.024090419,1.010243032,1.019626903,0.002691972,0.001949523,0.001107946
0.006553599,1.023303161,1.00970121,1.018291419,0.002420279,0.001835326,0.001040361
0.007372799,1.020461419,1.008753435,1.016223323,0.001648308,0.001623545,0.000858959
0.008191999,1.017928097,1.007945484,1.014467387,0.001763618,0.001482808,0.00081629
0.009011199,1.01598829,1.00710479,1.012991903,0.002256844,0.001334343,0.000818097
0.009830398,1.014591452,1.006622016,1.011896226,0.002362257,0.00129349,0.000814899
0.0106496,1.013398097,1.00602379,1.010924548,0.002579706,0.001232075,0.000836786
0.0114688,1.011918742,1.005692968,1.010004387,0.002481961,0.001158663,0.000798387
0.012288,1.011286065,1.005117403,1.009197935,0.002065222,0.001079858,0.000786604
0.0131072,1.010472871,1.004868758,1.008608419,0.001913757,0.001075132,0.000757867
0.0147456,1.008970935,1.004060984,1.007502839,0.001476319,0.000901044,0.000661368
0.016384,1.008173,1.003649871,1.006527548,0.001918009,0.000836797,0.000550731
0.0180224,1.007174516,1.003243403,1.005762516,0.001992337,0.000786534,0.000610545
0.0196608,1.006789968,1.003040532,1.005211226,0.002221999,0.000672697,0.000593558
0.0212992,1.005939645,1.002810952,1.00468329,0.001887617,0.000671136,0.000447459
0.0229376,1.005637226,1.002509458,1.004376032,0.001524561,0.000674465,0.00050565
0.024576,1.005045839,1.002216165,1.003973645,0.001443658,0.000699161,0.000570281
0.02621439,1.004362581,1.002038108,1.003656613,0.00154739,0.000757109,0.000529696
0.0294912,1.004533,1.00189831,1.003159581,0.001310392,0.000532879,0.000540368
0.032768,1.004101097,1.001688953,1.002774677,0.001256962,0.000482626,0.000507033
0.0360448,1.003881,1.0014836,1.00244571,0.00127455,0.00048681,0.000516679
0.03932159,1.0031708,1.00130791,1.002265903,0.001244482,0.000531212,0.0004352
0.04259839,1.002720742,1.001084123,1.002108581,0.001402063,0.000399723,0.00047007
0.04587519,1.002748713,1.001170337,1.002012774,0.001367593,0.000459368,0.000503532
0.04915199,1.002472397,1.000983569,1.001709323,0.001259416,0.000457622,0.000551769
0.05242879,1.001980819,1.000888484,1.001506742,0.001627204,0.000457337,0.000464791
0.05898239,1.001921839,1.000806813,1.001399903,0.001006935,0.000370318,0.00041394
0.06553599,1.001716026,1.000661473,1.001187871,0.001012756,0.000386151,0.000431501
0.07208959,1.001814258,1.000563455,1.001076194,0.001117417,0.000379553,0.000571286
0.07864319,1.001473771,1.000516269,1.000966774,0.001227329,0.000354992,0.000471517
0.08519679,1.001625748,1.000494674,1.000992548,0.001104139,0.000357695,0.000416487
0.09175038,1.001505732,1.000355934,1.000856687,0.001141508,0.000376356,0.000497122
0.09830398,1.001003035,1.000367003,1.000766839,0.001082067,0.000360363,0.000467439
0.1048576,1.001131026,1.000282556,1.00069941,0.000944849,0.000332831,0.000483335
0.1179648,1.001228335,1.000364666,1.000679326,0.000882162,0.000253115,0.000358851
0.131072,1.001166939,1.000256221,1.000624894,0.000744386,0.000330934,0.000392695
0.1441792,1.001189829,1.000338516,1.000633032,0.00091522,0.000366223,0.00037546
0.1572864,1.000880568,1.000251276,1.000504768,0.000833091,0.000293221,0.00042082
0.1703936,1.000849045,1.000192115,1.000597194,0.000727669,0.000293721,0.000313934
0.1835008,1.000869913,1.000292263,1.000552206,0.000702863,0.000275508,0.000339076
0.196608,1.000652513,1.00026284,1.000489774,0.000773672,0.000279115,0.000355964
0.2097152,1.000986458,1.00028864,1.000365713,0.000999774,0.000275607,0.000393532
