delta_t,meanB,meanBR,meanR,stdB,stdBR,stdR
1.25E-08,2.392874727,1.127110406,1.343042182,0.330072492,0.098013854,0.035802944
2.50E-08,2.585998909,1.160781232,1.458650455,0.576084979,0.111045448,0.030519545
3.75E-08,4.885760182,1.159785912,1.821968455,0.730325694,0.086772108,0.026499917
5.00E-08,3.993823455,1.135628034,1.440230273,0.353666694,0.106276118,0.019506584
6.25E-08,2.173869545,1.143349132,1.335799636,0.589592938,0.117880637,0.029895049
7.50E-08,2.111564182,1.124895185,1.334349909,0.308341195,0.115555489,0.027079312
8.75E-08,2.078015455,1.161190355,1.324444636,0.35251853,0.112460054,0.034555702
1.00E-07,1.820127255,1.141869461,1.331359364,0.370800987,0.109523318,0.036017902
1.13E-07,1.829156455,1.120671933,1.317741273,0.340727589,0.073906277,0.033065703
1.25E-07,1.988865909,1.179068342,1.324496091,0.569823605,0.090854534,0.037570462
1.38E-07,2.026272,1.164566796,1.322553727,0.345710164,0.125750629,0.028625701
1.50E-07,1.951311273,1.123865763,1.330640091,0.431035535,0.086413744,0.046892527
1.63E-07,1.884948273,1.148314183,1.341144455,0.447218553,0.123313622,0.030049446
1.75E-07,1.792142636,1.144709892,1.313106364,0.265924129,0.091100218,0.026999759
1.88E-07,2.039346273,1.119087156,1.330163091,0.356097048,0.101445033,0.037434574
2.00E-07,1.935243818,1.153055261,1.319593182,0.36105853,0.134164916,0.012594197
2.25E-07,1.772989636,1.113607074,1.324940364,0.250880156,0.078244561,0.02352914
2.50E-07,1.788159727,1.132970398,1.316040091,0.345264806,0.077850746,0.01648652
2.75E-07,1.774815364,1.159002384,1.316839909,0.273898781,0.068053091,0.032885249
3.00E-07,1.718239545,1.119000828,1.315481,0.257694537,0.069060485,0.02398754
3.25E-07,1.628177909,1.16207016,1.317491727,0.267733547,0.091297351,0.036437171
3.50E-07,1.751773691,1.151545607,1.310792909,0.321390329,0.073525692,0.026713291
3.75E-07,1.841595273,1.150120696,1.321929727,0.28617098,0.089654406,0.01996964
4.00E-07,1.817123455,1.136791927,1.319205818,0.287157625,0.094302998,0.022938168
4.50E-07,1.757005727,1.145509911,1.311512727,0.159098185,0.039899521,0.014352049
5.00E-07,1.738336818,1.153357417,1.318812,0.215669805,0.071864867,0.018125233
5.50E-07,1.652306909,1.151773402,1.324445545,0.181635818,0.052441925,0.017909101
