delta_t,meanB,meanBR,meanR,stdB,stdBR,stdR
1.25E-08,2.571434118,1.177362485,1.309379412,0.330072492,0.098013854,0.035802944
2.50E-08,3.153691471,1.193333971,1.385681765,0.576084979,0.111045448,0.030519545
3.75E-08,4.306456765,1.163634897,1.877071471,0.730325694,0.086772108,0.026499917
5.00E-08,2.492875588,1.132960603,1.480359118,0.353666694,0.106276118,0.019506584
6.25E-08,2.229970882,1.147444529,1.323831471,0.589592938,0.117880637,0.029895049
7.50E-08,2.122707059,1.105773456,1.305704412,0.308341195,0.115555489,0.027079312
8.75E-08,2.14567,1.131366574,1.312373235,0.35251853,0.112460054,0.034555702
1.00E-07,2.106374118,1.1591575,1.303890294,0.370800987,0.109523318,0.036017902
1.13E-07,1.938235,1.180003544,1.303215882,0.340727589,0.073906277,0.033065703
1.25E-07,1.950586176,1.151193603,1.334118235,0.569823605,0.090854534,0.037570462
1.38E-07,2.085667941,1.158147529,1.323766176,0.345710164,0.125750629,0.028625701
1.50E-07,2.067176471,1.159471735,1.305057647,0.431035535,0.086413744,0.046892527
1.63E-07,1.949773529,1.145883559,1.307250882,0.447218553,0.123313622,0.030049446
1.75E-07,1.993763824,1.167749206,1.299896471,0.265924129,0.091100218,0.026999759
1.88E-07,1.971207059,1.142390426,1.306657353,0.356097048,0.101445033,0.037434574
2.00E-07,1.893089118,1.189053926,1.300005882,0.36105853,0.134164916,0.012594197
2.25E-07,1.862555882,1.140689191,1.317730588,0.250880156,0.078244561,0.02352914
2.50E-07,2.001176471,1.148401956,1.315046471,0.345264806,0.077850746,0.01648652
2.75E-07,1.948108529,1.165523809,1.312719412,0.273898781,0.068053091,0.032885249
3.00E-07,1.918091471,1.162758147,1.314900882,0.257694537,0.069060485,0.02398754
3.25E-07,1.900302647,1.174694412,1.313225294,0.267733547,0.091297351,0.036437171
3.50E-07,1.888261765,1.157606559,1.309966176,0.321390329,0.073525692,0.026713291
3.75E-07,1.813673529,1.162841324,1.306545588,0.28617098,0.089654406,0.01996964
4.00E-07,1.925356176,1.148078118,1.300145,0.287157625,0.094302998,0.022938168
4.50E-07,1.938337353,1.147532059,1.306040294,0.159098185,0.039899521,0.014352049
5.00E-07,1.835825882,1.169133971,1.312298235,0.215669805,0.071864867,0.018125233
5.50E-07,1.955185588,1.142991471,1.304487059,0.181635818,0.052441925,0.017909101
6.00E-07,1.891286765,1.157829118,1.305226471,0.241819545,0.048720006,0.018225643
6.50E-07,1.927106471,1.149027059,1.302451471,0.158167966,0.042679399,0.013718497
7.00E-07,1.913566471,1.137566912,1.314697647,0.208966422,0.05050399,0.025425466
7.50E-07,1.884030294,1.151963235,1.300259118,0.2088264,0.043908858,0.011026325
8.00E-07,1.947341176,1.155993971,1.313939118,0.167833494,0.065234035,0.015831813
9.00E-07,1.890638824,1.155770588,1.305579118,0.157932532,0.041680014,0.013559972
1.00E-06,1.803296765,1.154464706,1.305563235,0.158552391,0.036564002,0.006255199
1.10E-06,1.857866471,1.154879118,1.309921176,0.109302709,0.041525898,0.01130823
1.20E-06,1.829232941,1.171623971,1.304735588,0.132699667,0.025438449,0.014912368
1.30E-06,1.850966471,1.154911029,1.304901765,0.093098276,0.031870727,0.010476083
1.40E-06,1.845323529,1.161659118,1.301091176,0.170450476,0.039796567,0.010121075
1.50E-06,1.834755882,1.149066029,1.300955294,0.148514958,0.038942213,0.009689394
1.60E-06,1.912171176,1.150210735,1.311354118,0.134016184,0.043028012,0.009877656
1.80E-06,1.875415,1.153740588,1.303052059,0.109395304,0.027786322,0.007620422
2.00E-06,1.885412647,1.149985735,1.304350882,0.112785974,0.035102757,0.009593618
2.20E-06,1.870956471,1.151276029,1.300298235,0.142002758,0.02388861,0.011169455
