delta_t,meanB,meanBR,meanR,stdB,stdBR,stdR
1.25E-08,2.204562,1.089635997,1.344701733,0.533464267,0.080366844,0.02658946
2.50E-08,2.074785533,1.07360227,1.432289733,0.291071551,0.093805696,0.043587569
3.75E-08,4.791941733,1.05173998,1.767057067,0.641302973,0.103900049,0.043410825
5.00E-08,3.943489933,1.067426187,1.431694867,0.607068542,0.104575844,0.019207428
6.25E-08,2.2971394,1.06747485,1.320532467,0.413487528,0.091054113,0.032363209
7.50E-08,1.890179067,1.08383441,1.325376933,0.472753265,0.111999648,0.027626639
8.75E-08,2.0045068,1.087516833,1.322319533,0.380661985,0.107611912,0.03044331
1.00E-07,1.7477516,1.05262844,1.324539467,0.515998824,0.108251695,0.035563158
1.13E-07,1.8817922,1.080549503,1.317540533,0.385998112,0.103898614,0.026290439
1.25E-07,2.0353724,1.082416893,1.302960067,0.351216184,0.095762834,0.033938396
1.38E-07,1.883752987,1.094339253,1.319536133,0.479059014,0.100001869,0.031439076
1.50E-07,1.95813394,1.056230707,1.319687733,0.456080786,0.08685328,0.025024781
1.63E-07,1.722959133,1.07176331,1.319021533,0.343113518,0.094516515,0.026427608
1.75E-07,1.922667133,1.10895679,1.315480867,0.43967628,0.093320836,0.035542423
1.88E-07,1.8411502,1.054908123,1.328670533,0.353612978,0.100593962,0.033479326
2.00E-07,1.74450414,1.061933133,1.3241654,0.488733244,0.102723158,0.036770265
2.25E-07,1.7829282,1.070001553,1.319413733,0.382034765,0.063210044,0.027583828
2.50E-07,1.895931933,1.079088387,1.331400867,0.323020706,0.074499731,0.019316074
2.75E-07,1.682297587,1.085771473,1.322542467,0.331566441,0.076727702,0.028952184
3.00E-07,1.765010867,1.07460241,1.333753333,0.192535974,0.073997296,0.021554672
3.25E-07,1.780185267,1.085132173,1.3180924,0.361290451,0.070253958,0.026306175
3.50E-07,1.769723333,1.072665183,1.310617067,0.306583389,0.071488867,0.020837634
3.75E-07,1.837812067,1.086319097,1.309933733,0.385060965,0.059800363,0.028002074
4.00E-07,1.830617867,1.066876087,1.3237468,0.259898696,0.053025031,0.023524664
4.50E-07,1.7703916,1.072772347,1.319564533,0.207873147,0.064029958,0.013825281
5.00E-07,1.731793467,1.07933366,1.316395533,0.169519995,0.052510201,0.012389559
5.50E-07,1.802728333,1.05772521,1.319660467,0.214740201,0.055220745,0.016543408
6.00E-07,1.755893667,1.086124167,1.3118946,0.13926249,0.042494043,0.014762659
6.50E-07,1.7844552,1.062525347,1.317323533,0.171696771,0.040205296,0.019766234
7.00E-07,1.7550006,1.066527057,1.3144744,0.174942264,0.042742608,0.015819741
7.50E-07,1.7961928,1.071918757,1.320894467,0.157722231,0.039808775,0.013083472
8.00E-07,1.773896667,1.080191827,1.3186556,0.228948124,0.050463375,0.01712548
9.00E-07,1.7473868,1.06733835,1.3199948,0.117962548,0.03263246,0.011012506
1.00E-06,1.748201667,1.067693377,1.320266667,0.108274722,0.041609169,0.013089695
1.10E-06,1.7522706,1.079913483,1.313562333,0.156540849,0.036543397,0.00745901
1.20E-06,1.782653467,1.080776433,1.322249867,0.100843944,0.035547721,0.0139306
1.30E-06,1.654857267,1.084414,1.321267933,0.133218691,0.029623788,0.012702704
1.40E-06,1.722141667,1.0690359,1.315576333,0.171232296,0.033114099,0.011410884
1.50E-06,1.678064867,1.072964033,1.312935467,0.103333526,0.037754795,0.015131794
1.60E-06,1.675204,1.0669522,1.315665667,0.154995148,0.027520597,0.012259203
1.80E-06,1.7384774,1.079642133,1.319082867,0.098355701,0.027569702,0.008232086
2.00E-06,1.7347764,1.065532833,1.3151818,0.082842671,0.025883932,0.007907853
2.20E-06,1.790704267,1.0679452,1.314695333,0.121761844,0.023278005,0.011170129
2.40E-06,1.721300667,1.078127333,1.3181784,0.101716552,0.021567423,0.011691795
2.60E-06,1.7428388,1.081526467,1.3088812,0.091997654,0.025520816,0.006539719
2.80E-06,1.780192133,1.074001967,1.310494733,0.140218864,0.027172474,0.012778919
3.00E-06,1.763592667,1.071794033,1.314379,0.10704822,0.027177993,0.008143083
3.20E-06,1.776947467,1.073412033,1.310755733,0.116735607,0.024486993,0.005905689
3.60E-06,1.697171067,1.073516767,1.310738067,0.076674548,0.015620785,0.00650654
4.00E-06,1.731163867,1.073827167,1.309044,0.054117325,0.015754946,0.007657181
4.40E-06,1.748874533,1.073907067,1.310713533,0.094460945,0.020221943,0.005435933
4.80E-06,1.766200667,1.0739787,1.3099482,0.072817136,0.018365751,0.005309686
5.20E-06,1.731012733,1.0708735,1.3056814,0.058895455,0.019086266,0.007387372
5.60E-06,1.730739467,1.071739767,1.307529467,0.088286138,0.019118637,0.008425138
6.00E-06,1.693333,1.0754086,1.305148533,0.061074937,0.0196267,0.008072615
6.40E-06,1.726957333,1.0688716,1.304604733,0.053031274,0.018884329,0.006407397
7.20E-06,1.712949467,1.0704793,1.3018638,0.053497772,0.011156114,0.006188672
8.00E-06,1.7105362,1.069144033,1.302968067,0.044459361,0.011454451,0.005251516
8.80E-06,1.7254092,1.067725833,1.300432733,0.050687076,0.014268816,0.006498508
9.60E-06,1.700264933,1.072428167,1.299684067,0.037291695,0.013596746,0.005819781
1.04E-05,1.691140533,1.073257167,1.299601533,0.053892827,0.011438392,0.003827428
1.12E-05,1.714592333,1.070752967,1.299577867,0.044766906,0.011755054,0.00548868
1.20E-05,1.703504667,1.067081667,1.296352267,0.039265883,0.009274831,0.006915415
1.28E-05,1.699126533,1.064992767,1.298330333,0.048100453,0.013146009,0.006065969
1.44E-05,1.6858794,1.071990667,1.295432067,0.027291893,0.009538497,0.005479059
1.60E-05,1.679697933,1.068930133,1.292414533,0.033699575,0.007722378,0.005382441
1.76E-05,1.680646,1.065809333,1.291248133,0.02640001,0.010866622,0.004466908
1.92E-05,1.680218067,1.0676433,1.289876733,0.041202607,0.009328756,0.00519136
2.08E-05,1.657635533,1.0684246,1.288632067,0.031727253,0.010433619,0.005596745
2.24E-05,1.649924267,1.070482733,1.287530867,0.036996449,0.009464187,0.00526701
2.40E-05,1.655088467,1.069615433,1.285842667,0.034616487,0.00765404,0.005560656
2.56E-05,1.648042867,1.0701603,1.284973333,0.03495433,0.009738215,0.005564706
2.88E-05,1.644483133,1.069138567,1.283361133,0.031629516,0.006980292,0.004877831
3.20E-05,1.639728733,1.066485967,1.2815588,0.021831458,0.006867209,0.004677656
3.52E-05,1.629511133,1.065654033,1.278956667,0.027754891,0.006197504,0.003664842
3.84E-05,1.620982733,1.067756233,1.2771312,0.030611219,0.006097807,0.004532608
4.16E-05,1.604807867,1.065768333,1.2755082,0.019085339,0.005895531,0.00499904
4.48E-05,1.606792667,1.0664103,1.273639067,0.01772855,0.00676475,0.004053255
4.80E-05,1.5977818,1.065556833,1.271739533,0.017497555,0.006871763,0.004502712
5.12E-05,1.5974146,1.066721,1.269345333,0.022304808,0.006591636,0.004337487
5.76E-05,1.583451733,1.0655664,1.265967267,0.016001473,0.005738774,0.004412599
6.40E-05,1.5679362,1.064369367,1.2621906,0.023036016,0.005029775,0.004097884
7.04E-05,1.5514974,1.063894067,1.259558667,0.016269595,0.003967374,0.003967206
7.68E-05,1.540683867,1.061889567,1.256737267,0.013078344,0.005540202,0.004266427
8.32E-05,1.531391533,1.062345567,1.252854933,0.018332296,0.004871919,0.004526597
8.96E-05,1.525697533,1.060794433,1.250240333,0.017862685,0.004439266,0.00354187
9.60E-05,1.512560333,1.0606223,1.2466488,0.019245584,0.0036277,0.003682161
0.0001024,1.506808867,1.058786567,1.2445078,0.016084814,0.005038334,0.003873076
0.0001152,1.477154867,1.059730067,1.238944867,0.009626444,0.00404273,0.003935302
0.000128,1.4613668,1.057238,1.2340496,0.010894681,0.003883542,0.003781286
0.0001408,1.4432048,1.057802867,1.228976867,0.0141601,0.004131225,0.003566166
0.0001536,1.433148867,1.056916,1.223117267,0.014897102,0.003545424,0.003598142
0.0001664,1.416465667,1.054929867,1.21907,0.00840574,0.003867665,0.003669294
0.0001792,1.406572133,1.054593667,1.2147616,0.017888905,0.003704731,0.003418071
0.000192,1.3988978,1.05446,1.210247467,0.010093469,0.003275093,0.003534507
0.0002048,1.377166667,1.052719633,1.2058606,0.0146352,0.004187159,0.003435143
0.0002304,1.3602874,1.051798067,1.198333533,0.009391262,0.003360307,0.003107297
0.000256,1.345653067,1.0502606,1.191056067,0.008984006,0.002723829,0.003230785
0.0002816,1.327001733,1.048388467,1.184516,0.006497498,0.002592784,0.002923854
0.0003072,1.311733933,1.046208467,1.178204267,0.011445311,0.002743496,0.002996021
0.0003328,1.2971732,1.0459701,1.172394133,0.0095615,0.002956909,0.003033899
0.0003584,1.284365733,1.043833467,1.1673402,0.00630176,0.003094626,0.003030082
0.000384,1.275220333,1.043243967,1.162607467,0.01084849,0.002979807,0.002907351
0.0004096,1.262401333,1.0419034,1.1577918,0.008202596,0.001972859,0.003085797
0.0004608,1.244987067,1.040130133,1.149065067,0.007798284,0.002524772,0.002814967
0.000512,1.228035133,1.038396333,1.141289667,0.00544326,0.002446864,0.002555217
0.0005632,1.214942,1.036397567,1.134117133,0.005380832,0.002190508,0.002434807
0.0006144,1.202292067,1.035397133,1.127895733,0.007224496,0.002038092,0.002248583
0.0006656,1.1916126,1.033795233,1.122130067,0.004061463,0.002192967,0.00232984
0.0007168,1.179879,1.032415833,1.116741733,0.003251099,0.002072234,0.002106573
0.000768,1.167932467,1.031188467,1.111677,0.006266142,0.002575383,0.002021152
0.0008192,1.162294,1.0300833,1.107599867,0.004484781,0.00182304,0.002061868
0.0009216,1.147559267,1.028362467,1.099600533,0.005009393,0.00180555,0.002064625
0.001024,1.134986467,1.026542767,1.092662867,0.003424077,0.001787588,0.001848416
0.0011264,1.123877333,1.0251326,1.086674933,0.003867626,0.00194855,0.001520056
0.0012288,1.114391867,1.023599167,1.081267,0.003976564,0.001846022,0.001544442
0.0013312,1.107925733,1.022191,1.076651067,0.003175634,0.001853336,0.001589827
0.0014336,1.104407933,1.021026,1.0722662,0.004575659,0.001539677,0.001294387
0.001536,1.0961668,1.020439167,1.068319933,0.002723557,0.001571743,0.001314295
