delta_t,meanB,meanBR,meanR,stdB,stdR,stdBR
1.25E-08,2.594197818,1.139443634,2.000582273,0.404422353,0.101178984,0.156235127
2.50E-08,3.242404091,1.108457186,2.294871773,0.332561826,0.142176309,0.138238172
3.75E-08,4.723290091,1.127441345,3.557814545,0.631879991,0.159571436,0.12354746
5.00E-08,2.971154636,1.108908168,2.4756175,0.456223561,0.093781764,0.113752729
6.25E-08,2.250483318,1.0968021,2.021721682,0.362282658,0.134190209,0.135110156
7.50E-08,2.394763,1.133599948,2.022345682,0.319744937,0.15431479,0.115762991
8.75E-08,2.470879955,1.104252543,1.961660409,0.302440709,0.121666823,0.098671429
1.00E-07,2.339333727,1.089656675,2.029083455,0.403887901,0.135527085,0.140165694
1.13E-07,2.320007818,1.15960023,1.953588682,0.281797214,0.123774269,0.155814674
1.25E-07,2.474285545,1.088176545,1.997627,0.331100541,0.106369423,0.143562109
1.38E-07,2.380946136,1.151449402,2.000709636,0.34535948,0.132084607,0.139289672
1.50E-07,2.492235318,1.110917732,2.049722182,0.311567973,0.162488691,0.151615374
1.63E-07,2.494245818,1.120406411,2.002390727,0.386233384,0.087810091,0.157068372
1.75E-07,2.514979864,1.155982052,1.995858091,0.368192985,0.085271827,0.172938545
1.88E-07,2.399605,1.155819791,2.030985182,0.303737226,0.122265261,0.15036124
2.00E-07,2.362375273,1.138331098,1.981373909,0.391027595,0.087642339,0.131868352
2.25E-07,2.546154182,1.129488598,1.9637185,0.26131349,0.090664662,0.114424214
2.50E-07,2.554000318,1.13157445,1.955128,0.242688484,0.098354238,0.107551731
2.75E-07,2.521693364,1.134585691,1.995390545,0.228133679,0.10232015,0.113207061
3.00E-07,2.544819455,1.127827932,1.964576318,0.188671955,0.093092126,0.098124824
3.25E-07,2.551034818,1.11570705,1.996173364,0.298328734,0.083219695,0.095128037
3.50E-07,2.455563864,1.148813309,2.007811364,0.178728042,0.062676988,0.109428816
3.75E-07,2.384039,1.130338889,2.022131091,0.286301366,0.097237117,0.093914472
4.00E-07,2.385784318,1.120143807,1.9913595,0.244925633,0.076273061,0.109765217
4.50E-07,2.456616909,1.1198298,1.968698591,0.154186766,0.073125391,0.086267768
5.00E-07,2.484741455,1.098958016,1.974331955,0.159426573,0.089936524,0.082913481
5.50E-07,2.463129455,1.123198495,1.965425091,0.188709838,0.088961104,0.073058482
6.00E-07,2.495598182,1.132861193,1.960905136,0.131259053,0.079312904,0.092358286
6.50E-07,2.481220227,1.115715025,1.947965955,0.19047299,0.075750875,0.086169232
7.00E-07,2.413778591,1.11674632,1.968622045,0.117996928,0.08379321,0.073078726
7.50E-07,2.466498545,1.141059843,1.973126136,0.184598076,0.081825452,0.083382963
8.00E-07,2.451242409,1.109694807,1.956877364,0.177469753,0.084851162,0.073832528
9.00E-07,2.433518727,1.129386636,1.957930864,0.126198747,0.067470894,0.064227984
1.00E-06,2.436403818,1.116033659,1.961405682,0.138712223,0.073174468,0.058565638
1.10E-06,2.445298318,1.1279105,1.957776,0.104003794,0.083528051,0.061444875
1.20E-06,2.420092682,1.114880336,1.965564955,0.144944454,0.066539597,0.062402201
1.30E-06,2.426093182,1.127378452,1.967024182,0.109896248,0.071698153,0.071529525
1.40E-06,2.422963727,1.125361727,1.973657773,0.177712982,0.07013564,0.066369753
1.50E-06,2.384352591,1.105019386,1.952033045,0.128281317,0.081246632,0.067796425
1.60E-06,2.406576545,1.12503358,1.954778,0.141395212,0.076538851,0.056833977
1.80E-06,2.439719636,1.119234955,1.962689682,0.072908763,0.063938802,0.050914881
2.00E-06,2.347342682,1.123085614,1.956649273,0.080117671,0.058378651,0.054316388
2.20E-06,2.427022409,1.121249273,1.953676318,0.075134283,0.060118224,0.05387326
2.40E-06,2.396814591,1.132675977,1.948637545,0.07431757,0.072863865,0.054452392
2.60E-06,2.402066591,1.113693432,1.955327409,0.094956654,0.063379313,0.058399314
2.80E-06,2.392659045,1.122610205,1.961001864,0.07900283,0.061346878,0.056514579
3.00E-06,2.378874636,1.140121159,1.938581364,0.096576535,0.072248854,0.056880538
3.20E-06,2.353737182,1.123366,1.9403385,0.079571509,0.070806858,0.059081551
3.60E-06,2.388005318,1.128801205,1.939737045,0.063793581,0.061622376,0.052140577
4.00E-06,2.347041409,1.116991886,1.938187045,0.053232994,0.062908261,0.047668555
4.40E-06,2.341440591,1.125427773,1.932810818,0.057021273,0.066560217,0.047998192
4.80E-06,2.353507318,1.119908893,1.940152136,0.064466981,0.061784981,0.052535221
5.20E-06,2.310749955,1.127277955,1.935024136,0.054865893,0.056161379,0.053937028
5.60E-06,2.350821318,1.127110136,1.9292245,0.05413698,0.063876303,0.049873558
6.00E-06,2.348913318,1.124297205,1.928886636,0.082520224,0.065701132,0.049427469
6.40E-06,2.334596682,1.129178,1.931127091,0.074194182,0.071510589,0.048531978
7.20E-06,2.323706682,1.125978386,1.926190591,0.050051629,0.059379114,0.049222747
8.00E-06,2.304004364,1.121329386,1.924367682,0.04977136,0.063201974,0.045664238
8.80E-06,2.312298364,1.124137023,1.920978591,0.032902301,0.064870079,0.044589725
9.60E-06,2.3054345,1.127821568,1.919290227,0.054008214,0.066528395,0.046466624
1.04E-05,2.291789773,1.120244045,1.918194864,0.057036387,0.063745538,0.046634754
1.12E-05,2.289678455,1.1299825,1.913580227,0.054514623,0.064101915,0.050498029
1.20E-05,2.287230182,1.118165045,1.917007591,0.051305599,0.062271446,0.045110148
1.28E-05,2.298167318,1.124287773,1.904822227,0.056822477,0.065725409,0.044059111
1.44E-05,2.279532045,1.123695795,1.906649591,0.037250637,0.060545107,0.044285592
1.60E-05,2.272715364,1.123110091,1.906452727,0.02576373,0.057632499,0.044206235
1.76E-05,2.258610318,1.124345841,1.902411,0.024173441,0.060045564,0.042394956
1.92E-05,2.253049136,1.124512068,1.900230364,0.038482481,0.060272325,0.044832692
2.08E-05,2.259008727,1.121986523,1.897210364,0.049594223,0.058521947,0.046410331
2.24E-05,2.246699136,1.122510409,1.894226818,0.039089931,0.061775467,0.042098258
2.40E-05,2.250557591,1.124098273,1.894775864,0.044276113,0.058527658,0.045363376
2.56E-05,2.237306,1.121561318,1.893754409,0.034341505,0.058864415,0.04459572
2.88E-05,2.244950636,1.123514136,1.889271636,0.034953915,0.058588913,0.043203849
3.20E-05,2.225655091,1.125746,1.886014773,0.02856291,0.055978223,0.042661024
3.52E-05,2.218684727,1.119577977,1.884415182,0.045726012,0.055357682,0.042038076
3.84E-05,2.217175364,1.12126225,1.882993318,0.033092693,0.055023842,0.044365785
4.16E-05,2.209818636,1.123710364,1.880040818,0.026022254,0.056748705,0.04436657
4.48E-05,2.203592455,1.123421,1.879573364,0.041331954,0.054536696,0.042402872
4.80E-05,2.202508955,1.123611227,1.875469818,0.031758051,0.052881939,0.043655547
5.12E-05,2.196280955,1.124796705,1.875349227,0.02978511,0.053292077,0.044591141
5.76E-05,2.186091682,1.122466023,1.869402227,0.03851266,0.055417258,0.042780581
6.40E-05,2.172429545,1.123483591,1.866979318,0.034602476,0.051309375,0.044352515
7.04E-05,2.164130773,1.123262591,1.864373864,0.030880467,0.051579081,0.044123554
7.68E-05,2.154392818,1.121454614,1.858899182,0.036896062,0.048933601,0.043647882
8.32E-05,2.148383045,1.12383025,1.855598727,0.031989373,0.049931648,0.043437765
8.96E-05,2.131946727,1.122306659,1.853890364,0.035697263,0.048797571,0.04386405
9.60E-05,2.126284273,1.123212659,1.852274636,0.03418312,0.048895346,0.043686777
0.0001024,2.121360318,1.123680318,1.849115682,0.036599191,0.046532703,0.043437736
0.0001152,2.108904682,1.121837227,1.841786682,0.042827036,0.046580092,0.04259819
0.000128,2.090671773,1.121480386,1.836818591,0.045205003,0.04414426,0.042787361
0.0001408,2.077333727,1.122393068,1.831710955,0.044114368,0.04383955,0.043794931
0.0001536,2.066403727,1.121437205,1.825808909,0.049440028,0.042920389,0.04369634
0.0001664,2.051795091,1.122637636,1.821993545,0.047762087,0.040562697,0.042736116
0.0001792,2.040684,1.121456023,1.817315273,0.05257,0.040008857,0.042284655
0.000192,2.026795727,1.121347659,1.812802364,0.053199927,0.03858876,0.043292428
0.0002048,2.020179591,1.121187841,1.808770773,0.05615772,0.036469815,0.042692447
0.0002304,2.000231591,1.1219285,1.800122864,0.059879938,0.034776193,0.042756628
0.000256,1.980873,1.121300659,1.792244727,0.06482316,0.032193997,0.043507327
0.0002816,1.963879273,1.121642227,1.785064091,0.068296936,0.030035344,0.043147655
0.0003072,1.948430955,1.121338182,1.777475045,0.069821343,0.028567231,0.043328978
0.0003328,1.932347818,1.121866977,1.771205591,0.072609629,0.026592176,0.043346078
0.0003584,1.920131955,1.122288409,1.765089364,0.0753078,0.0246808,0.043742981
0.000384,1.903829682,1.120601409,1.758256909,0.077555085,0.023255763,0.042990223
0.0004096,1.891529818,1.120524045,1.752280182,0.080818183,0.022357606,0.043704135
0.0004608,1.869689955,1.120611,1.739922091,0.084465668,0.018533208,0.043194228
0.000512,1.849553409,1.120924341,1.730030864,0.086912793,0.016013968,0.042821138
