delta_t,meanB,meanBR,meanR,stdB,stdR,stdRB
1.25E-08,5.839996,1.226950887,4.5537386,1.774316562,0.615513591,0.358117501
2.50E-08,7.247802467,1.160519473,5.509624733,2.217796425,0.624693811,0.49087327
3.75E-08,11.2699922,1.365759563,9.956467267,1.389684158,0.741612184,0.47491319
5.00E-08,6.0110604,1.344906517,5.8504494,1.788541882,0.52684014,0.458014224
6.25E-08,5.002319733,1.34915468,4.664732,1.583564944,0.446933034,0.499393719
7.50E-08,5.373840067,1.30247962,4.718497067,0.96402585,0.606038586,0.394088423
8.75E-08,5.0234584,1.337427813,4.730691867,1.120428732,0.537222535,0.48342065
1.00E-07,4.5886446,1.444257237,4.655702,1.609631816,0.534720014,0.40271457
1.13E-07,5.3777344,1.34226462,4.789547533,1.427796015,0.492053061,0.409311029
1.25E-07,4.7092584,1.292451537,4.822532,1.427965922,0.490766262,0.467081821
1.38E-07,5.576190867,1.363569343,4.799905267,1.425834224,0.459589988,0.455564086
1.50E-07,5.6119302,1.182088057,4.569026133,2.08958348,0.524528259,0.477075544
1.63E-07,5.059797333,1.393999133,4.366269867,1.532632162,0.360631961,0.468922349
1.75E-07,4.9645206,1.172719513,4.806907467,1.356135668,0.613795593,0.536247564
1.88E-07,4.797553733,1.248054147,4.551750533,1.194158132,0.316994422,0.54894596
2.00E-07,5.394303467,1.494488753,4.6247528,1.889594657,0.521264711,0.539453665
2.25E-07,4.661915,1.40129685,4.727433333,0.815386532,0.294337659,0.325769143
2.50E-07,4.947272267,1.375899467,4.453393467,1.015250733,0.238132517,0.268474066
2.75E-07,4.3891842,1.370949107,4.630686733,1.164106993,0.434100089,0.291985411
3.00E-07,4.8147548,1.385248173,4.630730267,0.702785618,0.323543082,0.368358186
3.25E-07,4.912162467,1.221499487,4.6982952,1.097721734,0.428682766,0.2085731
3.50E-07,5.184004533,1.38019963,4.437781533,1.121392751,0.402630145,0.337005052
3.75E-07,5.450086067,1.340744417,4.616851467,1.269801571,0.333561293,0.266616245
4.00E-07,5.126421867,1.310815973,4.4698822,0.958206249,0.324443881,0.292056068
4.50E-07,4.768692533,1.368205033,4.654960533,0.693094034,0.253711774,0.194465828
5.00E-07,4.809302133,1.30084915,4.604669267,0.727009652,0.28121362,0.227617323
5.50E-07,5.2670754,1.324375193,4.703326533,0.63024715,0.277688778,0.260794804
6.00E-07,5.076890333,1.328110177,4.541972133,0.625443057,0.211766727,0.239335594
6.50E-07,5.058046067,1.29489259,4.672183933,0.660725482,0.191395804,0.227825981
7.00E-07,4.663146,1.367581677,4.383261133,0.740302805,0.256947553,0.202858576
7.50E-07,4.9129752,1.336079533,4.4409336,0.701193674,0.202980291,0.174698953
8.00E-07,4.774006533,1.349726217,4.621865133,0.599366003,0.180110293,0.277836241
9.00E-07,4.812398133,1.322185587,4.5386792,0.441831363,0.171478512,0.174192658
1.00E-06,4.6243188,1.387788133,4.588400467,0.531189993,0.157116344,0.143513897
1.10E-06,5.0434376,1.376260433,4.5576028,0.462486125,0.186850198,0.129573613
1.20E-06,4.905512667,1.290107717,4.494570667,0.54718282,0.188012545,0.129464396
1.30E-06,4.8482432,1.374499567,4.5572134,0.410663764,0.149228152,0.190379994
1.40E-06,4.694229667,1.357997767,4.505981333,0.518155312,0.165248546,0.186154568
1.50E-06,4.987748667,1.342670267,4.5439346,0.554794047,0.204734259,0.143185225
1.60E-06,4.8945622,1.369089733,4.5490894,0.556456051,0.149043313,0.169385268
1.80E-06,4.957786267,1.318057833,4.492451733,0.287256277,0.123479657,0.129967293
2.00E-06,4.742841267,1.3708292,4.502544467,0.452879283,0.139249867,0.118956376
2.20E-06,4.874748,1.3536638,4.557069733,0.374426214,0.210853695,0.12682767
2.40E-06,4.9174264,1.346720433,4.499229333,0.451952755,0.161738607,0.109737136
2.60E-06,4.7155998,1.3348539,4.472616533,0.338148834,0.120188859,0.128720978
2.80E-06,4.754797933,1.3274122,4.505983733,0.284151915,0.101353805,0.117024068
3.00E-06,4.86146,1.376603033,4.470695667,0.369282863,0.14702285,0.130470864
3.20E-06,4.7492044,1.343646833,4.499649667,0.353806171,0.125549122,0.115867686
3.60E-06,4.739905933,1.329864467,4.452773867,0.360633984,0.122212199,0.069374851
4.00E-06,4.781816,1.344453733,4.446607733,0.216821451,0.107604106,0.075365816
4.40E-06,4.729282,1.355686633,4.440946533,0.191137664,0.084984137,0.075694419
4.80E-06,4.631844,1.349126333,4.43164,0.243973234,0.126931793,0.076697353
5.20E-06,4.6629342,1.329461833,4.4424904,0.200112309,0.080540187,0.082681817
5.60E-06,4.5730924,1.334716033,4.4021596,0.380492244,0.107205219,0.084909256
6.00E-06,4.643441333,1.349403,4.405692667,0.358334762,0.105830786,0.085177191
6.40E-06,4.671369667,1.367886433,4.430166933,0.286960607,0.10070992,0.0926189
7.20E-06,4.636335667,1.339037533,4.413832533,0.205783576,0.12724856,0.048498383
8.00E-06,4.562553733,1.342570067,4.361813067,0.154297063,0.076001599,0.063836038
8.80E-06,4.539376467,1.333988767,4.3437226,0.186843233,0.094574831,0.062700393
9.60E-06,4.525766,1.358251767,4.382395867,0.197290269,0.083780903,0.068793518
1.04E-05,4.557201933,1.348419767,4.3639808,0.154183543,0.074672628,0.060760595
1.12E-05,4.536873533,1.351327133,4.365712067,0.161446719,0.108768238,0.057798183
1.20E-05,4.561564067,1.337412267,4.331919733,0.204333508,0.06009654,0.05628197
1.28E-05,4.436735067,1.340117333,4.342862467,0.211662639,0.074248148,0.058425771
1.44E-05,4.4759598,1.347389567,4.346544667,0.137409539,0.077020601,0.049675133
1.60E-05,4.452444267,1.3286911,4.296225733,0.135111391,0.071981096,0.050052908
1.76E-05,4.476323,1.338978167,4.321929533,0.148984543,0.069402794,0.04180298
1.92E-05,4.403853,1.3461176,4.293511467,0.125039887,0.062821962,0.04041477
2.08E-05,4.416312133,1.3496029,4.288368533,0.133371327,0.046255946,0.050497441
2.24E-05,4.445647467,1.3353733,4.2511224,0.078900358,0.088190458,0.040770135
2.40E-05,4.376502867,1.3455125,4.257017867,0.171612628,0.064277384,0.053592454
2.56E-05,4.402256933,1.350500533,4.262460933,0.212304513,0.06677241,0.048268825
2.88E-05,4.3905508,1.355174133,4.249566733,0.09639411,0.062368701,0.04115921
3.20E-05,4.304478933,1.3456963,4.2382482,0.112140362,0.062075851,0.03768131
3.52E-05,4.352157467,1.339079333,4.220310267,0.124410868,0.072893737,0.043839854
3.84E-05,4.331533867,1.359096467,4.220926467,0.107812629,0.071359183,0.034627286
4.16E-05,4.301776333,1.347986067,4.211937467,0.090163472,0.052849064,0.041579934
4.48E-05,4.316479467,1.344450433,4.211335867,0.102356518,0.066699192,0.035724584
4.80E-05,4.279181467,1.347230867,4.201713733,0.097491758,0.058601332,0.035221189
5.12E-05,4.2530222,1.335986167,4.2059044,0.088063877,0.067386603,0.037192398
5.76E-05,4.2436106,1.3459834,4.198445467,0.103413711,0.057772911,0.034091386
6.40E-05,4.21838,1.340987233,4.177338067,0.088454318,0.062548224,0.031693977
7.04E-05,4.198428133,1.342591133,4.1617398,0.077596042,0.05330765,0.033779353
7.68E-05,4.1500456,1.344744533,4.148934067,0.093042401,0.055424152,0.034332483
8.32E-05,4.132812067,1.3457894,4.141983,0.062571987,0.06276927,0.033837958
8.96E-05,4.119664067,1.343183567,4.1382154,0.098208053,0.056094416,0.033156971
9.60E-05,4.114058933,1.346,4.1256832,0.073251358,0.053530745,0.031627453
0.0001024,4.085798,1.346679933,4.1111026,0.091616673,0.05351736,0.031705107
0.0001152,4.048664867,1.338305367,4.093316733,0.092238651,0.054983577,0.031103106
0.000128,3.9975446,1.3437862,4.084572067,0.087112201,0.054126968,0.031412829
0.0001408,3.996182867,1.345233767,4.065997667,0.048036243,0.062847504,0.02824558
0.0001536,3.953579533,1.343865467,4.049673,0.095962391,0.052749434,0.032538041
0.0001664,3.9262314,1.344785867,4.0409704,0.07306864,0.053720999,0.029835445
0.0001792,3.896861933,1.344730767,4.022338333,0.065120037,0.056747832,0.027538284
0.000192,3.8764414,1.3380749,4.005194,0.085771582,0.049827451,0.029312729
0.0002048,3.849227133,1.339646067,3.993407067,0.094506646,0.045035876,0.032600177
0.0002304,3.8196278,1.3393356,3.9680216,0.053062471,0.051522041,0.024018623
0.000256,3.781273,1.3401323,3.942129,0.066227887,0.051516299,0.028591662
0.0002816,3.737420533,1.343061267,3.9204412,0.080313397,0.053933947,0.026487287
0.0003072,3.6910428,1.339975867,3.8997282,0.067061068,0.053123186,0.025087537
0.0003328,3.6622846,1.341845033,3.876933933,0.053025863,0.05066548,0.029730837
0.0003584,3.624956,1.338803667,3.853699867,0.055342386,0.053091947,0.026380197
0.000384,3.592549133,1.340031267,3.829342067,0.05364086,0.053069137,0.028968747
0.0004096,3.574611067,1.339383167,3.8186178,0.054433552,0.046634109,0.029136968
0.0004608,3.506472267,1.3391255,3.7783382,0.061655262,0.047389464,0.027826875
0.000512,3.439277333,1.336998433,3.743055667,0.042666954,0.049341963,0.025432526
0.0005632,3.400076133,1.337994433,3.714700733,0.056866717,0.049579741,0.026286084
0.0006144,3.367452267,1.339133767,3.6838162,0.053951575,0.050338995,0.02523218
0.0006656,3.315147733,1.3362146,3.657545867,0.050096139,0.043657386,0.028323841
0.0007168,3.2758292,1.336658133,3.629367267,0.058954083,0.045320216,0.02619361
0.000768,3.229335667,1.3374287,3.605403133,0.058852442,0.046192514,0.026143094
0.0008192,3.203385133,1.3357662,3.579957133,0.054051535,0.047387615,0.025440735
0.0009216,3.125976067,1.3365681,3.533355133,0.048300824,0.045794287,0.025653983
0.001024,3.0700034,1.336747667,3.490868333,0.048392595,0.04664877,0.027326371
0.0011264,3.0142418,1.3350567,3.447570133,0.0392809,0.045507627,0.024830485
0.0012288,2.957650333,1.336097367,3.410740267,0.042787266,0.047329185,0.025625198
0.0013312,2.916209933,1.333670333,3.3760618,0.04134242,0.04719104,0.024509825
