delta_t,meanB,meanBR,meanR,stdB,stdR,stdBR
1.25E-08,2.553165455,1.022302627,1.775186545,0.176652633,0.058917285,0.073281731
2.50E-08,3.127931364,1.025930841,1.971773364,0.244413031,0.042580951,0.077762421
3.75E-08,4.258745273,1.039584986,2.798870636,0.299353558,0.057908872,0.083606029
5.00E-08,2.684686909,1.025620564,2.127349545,0.164416698,0.061154143,0.04950482
6.25E-08,2.415268909,1.027932827,1.834400182,0.23955768,0.05445674,0.066945515
7.50E-08,2.305188,1.009307059,1.847460727,0.135898797,0.035976019,0.083444692
8.75E-08,2.386102091,1.023576959,1.817707273,0.1967283,0.04298608,0.083727124
1.00E-07,2.461534545,1.0438196,1.828376545,0.239106309,0.042811183,0.063014578
1.13E-07,2.436449455,1.022974918,1.836044091,0.166303363,0.061506151,0.058458685
1.25E-07,2.395825545,1.037179409,1.831860636,0.15021956,0.05134529,0.067769026
1.38E-07,2.374041818,1.036302691,1.827392182,0.247340975,0.060473725,0.079943986
1.50E-07,2.346674364,1.040281905,1.824384273,0.194501673,0.067863616,0.067817793
1.63E-07,2.419926273,1.039809364,1.824409091,0.166260971,0.061852981,0.066875723
1.75E-07,2.211846727,1.0358017,1.804240455,0.188481213,0.03803394,0.046099589
1.88E-07,2.363639545,1.028216091,1.809095636,0.159550852,0.042436561,0.070197431
2.00E-07,2.398693455,1.039361732,1.804594273,0.260050031,0.032640469,0.053393728
2.25E-07,2.383540545,1.033345227,1.831120182,0.123289771,0.030910748,0.050167932
2.50E-07,2.369629727,1.019386009,1.817238545,0.125037849,0.025066882,0.050898195
2.75E-07,2.367593455,1.034972323,1.824551364,0.089687715,0.03202773,0.055377223
3.00E-07,2.358505364,1.050352077,1.803576091,0.155415696,0.027350675,0.034703807
3.25E-07,2.327749545,1.014940823,1.820760364,0.108115061,0.033863217,0.03448326
3.50E-07,2.373715273,1.026957809,1.830402909,0.111778482,0.046308541,0.048536845
3.75E-07,2.346819455,1.040588368,1.825954818,0.17486169,0.026633978,0.037800725
4.00E-07,2.437435,1.0268629,1.834846364,0.170294833,0.034654679,0.04917602
4.50E-07,2.367688091,1.039689891,1.820652273,0.111677826,0.026714624,0.041192493
5.00E-07,2.427341364,1.025006827,1.817252636,0.129633582,0.02277382,0.037874477
5.50E-07,2.452235727,1.015696168,1.814441273,0.146613871,0.032084333,0.034749741
6.00E-07,2.387708455,1.035172255,1.817422273,0.074031692,0.031917099,0.03155233
6.50E-07,2.383912091,1.029053732,1.789538182,0.075316757,0.020250398,0.024337188
7.00E-07,2.420852727,1.034167873,1.812719273,0.10792256,0.018827137,0.033593369
7.50E-07,2.385124273,1.048044727,1.817345818,0.08080856,0.035867101,0.029671889
8.00E-07,2.388427,1.016642332,1.809800182,0.104543188,0.0326166,0.030658511
9.00E-07,2.397970182,1.024088632,1.813590909,0.0768487,0.026031439,0.024947053
1.00E-06,2.394738091,1.025961591,1.803239545,0.075420203,0.018890756,0.022951551
1.10E-06,2.385790273,1.034354136,1.805652909,0.077069323,0.024129228,0.022501153
1.20E-06,2.388110091,1.024308814,1.798432727,0.08656236,0.015797394,0.025700621
1.30E-06,2.331107182,1.03624435,1.798458455,0.073178661,0.024566334,0.030873241
1.40E-06,2.388632273,1.028330836,1.801592545,0.062054056,0.019169722,0.028436548
1.50E-06,2.344429818,1.027872895,1.803789727,0.086051489,0.022980216,0.018499979
1.60E-06,2.352773545,1.034454218,1.793122818,0.063477988,0.013898581,0.023275142
1.80E-06,2.382749182,1.029686727,1.798057273,0.062181655,0.016432551,0.013202072
2.00E-06,2.344146364,1.032980523,1.798885455,0.054656068,0.011539321,0.017091087
2.20E-06,2.339052636,1.029522864,1.801628364,0.054850128,0.013137998,0.017824741
2.40E-06,2.339683636,1.031879877,1.799335455,0.037476522,0.011572663,0.020320544
2.60E-06,2.315670909,1.032855627,1.794688909,0.05938373,0.015027221,0.020181235
