filename	Rg	t1	Cross
4000_0.SIN	0.1838	0.006185	0
4000_1.SIN	0.1838	0.006185	0
4000_2.SIN	0.1838	0.006185	0
4000_3.SIN	0.1838	0.006185	0
4000_4.SIN	0.1838	0.006185	0
4000_5.SIN	0.1838	0.006185	0
4000_6.SIN	0.1838	0.006185	0
4000_7.SIN	0.1838	0.006185	0
4000_8.SIN	0.1838	0.006185	0
4000_9.SIN	0.1838	0.006185	0
4000_10.SIN	0.1838	0.006185	0
4000_11.SIN	0.1838	0.006185	0
4000_12.SIN	0.1838	0.006185	0
4000_13.SIN	0.1838	0.006185	0
4000_14.SIN	0.1838	0.006185	0
4000_15.SIN	0.1838	0.006185	0
4000_16.SIN	0.1838	0.006185	0
4000_17.SIN	0.1838	0.006185	0
4000_18.SIN	0.1838	0.006185	0
4000_19.SIN	0.1838	0.006185	0
4000_20.SIN	0.1838	0.006185	0
4000_21.SIN	0.1838	0.006185	0
4000_22.SIN	0.1838	0.006185	0
4000_23.SIN	0.1838	0.006185	0
4000_24.SIN	0.1838	0.006185	0
4000_25.SIN	0.1838	0.006185	0
4000_26.SIN	0.1838	0.006185	0
4000_27.SIN	0.1838	0.006185	0
4000_28.SIN	0.1838	0.006185	0
4000_29.SIN	0.1838	0.006185	0
