delta_t,msdB,msdR,msdmaxBlue,msdmaxRed,msdminBlue,msdminRed,normB,normR,stdNormB,stdNormR
1.1e-06,[ 0.00182677],[ 0.00356625],[ 0.00124755],[  3.67138121e-17],[ 0.00613432],[ 0.00391295],0.9279037924968407,0.9783894392385717,0.01519406414160295,0.007848869646581672
1.2e-06,[ 0.00244958],[ 0.00181164],[ 0.0002117],[ 0.0005836],[ 0.00353174],[ 0.00440252],0.9619723713846047,0.9712370603644469,0.01114086682421784,0.007251382722821693
1.3e-06,[ 0.00211414],[ 0.00239592],[ 0.0005076],[  8.35910843e-05],[ 0.00445131],[ 0.00424853],0.9503420501220946,0.9750760759708684,0.012896663466858235,0.00797128282559235
1.4e-06,[ 0.00327811],[ 0.00150544],[  1.01586682e-17],[ 0.00107806],[ 0.00360744],[ 0.00559869],0.9681868323992563,0.9618854238776783,0.01368422529768063,0.008415065443013802
1.5e-06,[ 0.00209514],[ 0.00137443],[  1.01586682e-17],[ 0.0001689],[ 0.00354415],[ 0.00411462],0.970871277787661,0.9752943297580522,0.014184669610738377,0.0075556218118225885
1.6e-06,[ 0.00235669],[ 0.00226605],[ 0.00043947],[ 0.00090615],[ 0.00424904],[ 0.00385931],0.952901826414729,0.9722970511511237,0.012529290233225894,0.005621058574811333
1.8000000000000001e-06,[ 0.00287876],[ 0.0024552],[ 0.00100291],[ 0.00139554],[ 0.0040042],[ 0.00441609],0.9491783281841326,0.9663699438184316,0.009796930310438344,0.0056782460990435135
2e-06,[ 0.00316136],[ 0.00213755],[ 0.00091331],[ 0.00144979],[ 0.00343034],[ 0.00494512],0.9554488364003418,0.9631920920108937,0.008331952165681325,0.006526279059435259
2.2e-06,[ 0.00425064],[ 0.00250038],[ 0.00097262],[ 0.00245897],[ 0.00413541],[ 0.00612043],0.9482934290980172,0.9511391571091593,0.01030298245961014,0.006663637250009105
2.4e-06,[ 0.00294492],[ 0.00251433],[ 0.0008906],[ 0.00140413],[ 0.00425972],[ 0.00454413],0.9480205462914635,0.9656240802594611,0.010966875723013636,0.005893390401065698
2.6e-06,[ 0.00374203],[ 0.00316464],[ 0.00145951],[ 0.00238748],[ 0.00500222],[ 0.00514105],0.9354785478354277,0.9567286480173183,0.01121586460595914,0.0050722666779115175
2.799999e-06,[ 0.00413969],[ 0.00302909],[ 0.00097937],[ 0.00253456],[ 0.00527394],[ 0.00580734],0.9380641920672422,0.9523527656118896,0.013665630482903129,0.005972216337674372
2.9999990000000003e-06,[ 0.00374684],[ 0.00379634],[ 0.00223075],[ 0.00211725],[ 0.00547117],[ 0.00544123],0.9236211395994325,0.9566754303057566,0.009992998694078195,0.006121616465443642
