,C,D,a,color,dataset,lambdaem,lambdaex,n,r0,r0_stderr,v,w0,w0_stderr
0,0.8289059999999999,419.01,0.522,B,BR00781,0.519,0.488,1.33,0.12353063677854026,0.00046291446510651014,1.4397413225185647,0.26237789908109865,0.0020899550652089456
1,0.8125,400.7,0.652,R,BR00781,0.657,0.633,1.33,0.15762771920309407,0.0006680065413321677,3.3056337554771553,0.3693112894245695,0.0025452344013260917
2,1.6578119999999998,419.01,0.522,B,BR01562,0.519,0.488,1.33,0.12545773038705463,0.0004507884464980358,1.4441648530533684,0.2576437712607462,0.0020285016641553213
3,1.625,400.7,0.652,R,BR01562,0.657,0.633,1.33,0.14889537378084278,0.00028253562758202486,3.1026101838141256,0.37369191072899144,0.0010475650230893036
4,3.315625,419.01,0.522,B,BR03125,0.519,0.488,1.33,0.12258521253714849,0.0005254591414920709,1.4389151849633468,0.26490615486408414,0.0023449472070510885
5,3.25,400.7,0.652,R,BR03125,0.657,0.633,1.33,0.14228814315433524,0.00047470708424342316,2.8950607119831595,0.3714109727934998,0.0017634064365628348
6,6.63125,419.01,0.522,B,BR06250,0.519,0.488,1.33,0.1301292267890506,0.0006352600737067153,1.5652197345134105,0.2643159949412248,0.002751908497805815
7,6.5,400.7,0.652,R,BR06250,0.657,0.633,1.33,0.15146982205141948,0.0008777290105809386,3.2925009722234977,0.38437945438763754,0.0032278704575046152
8,13.2625,419.01,0.522,B,BR12500,0.519,0.488,1.33,0.12229263427145766,0.0008153015467720558,1.45576712932415,0.2685079935100348,0.003434357212391559
9,13.0,400.7,0.652,R,BR12500,0.657,0.633,1.33,0.13330957625677115,0.0013208037238411918,2.786262098208038,0.38502444976732303,0.0048407165571883745
