delta_t,meanB,meanBR,meanR,stdB,stdR,stdRB
1.25e-08,1.8780394750000002,1.1849166649999998,1.446370075,0.23460426665131084,0.07136032457338862,0.0966276653254945
2.5e-08,3.8788538000000004,1.2060748687500003,1.5233646250000001,0.3098225394832661,0.08704850512435221,0.09844042895032203
3.75e-08,4.543379600000001,1.1615007187499997,1.7778407999999999,0.3560342412243379,0.06888128560654191,0.11482879085617868
5e-08,2.3228286249999996,1.1727206625000002,1.4788181749999996,0.2818194895176421,0.07097084522213593,0.11115661655662629
6.25e-08,1.7755386250000005,1.1826380737500002,1.397767475,0.21752506925854403,0.06069427983343549,0.1101956865137966
7.5e-08,1.8495794749999999,1.18843109875,1.3935763,0.2036043954196456,0.07212940025440391,0.0999656505410002
8.75e-08,1.7796652499999996,1.1852355112500004,1.401850325,0.2548266339305755,0.056907007620497635,0.10735410858225106
1e-07,1.7721853500000002,1.1762595887499998,1.390332325,0.2299751716221286,0.05876799139556647,0.10857010048935548
1.125e-07,1.8374674499999997,1.1614043912500007,1.4069804749999997,0.29053487756102103,0.07542099023414751,0.09916800076032993
1.25e-07,1.7480883999999997,1.1818392000000002,1.3823042749999999,0.21870794540525954,0.05763956361952591,0.10246615398325928
1.375e-07,1.8283326249999998,1.1859238250000002,1.3815611749999994,0.22651221773545552,0.06746084481382053,0.09986611163048068
1.5e-07,1.8264235250000005,1.18514015625,1.3814969,0.22496046711111126,0.06495465574722108,0.10314857364481685
1.625e-07,1.8310699500000012,1.16780269625,1.4089921000000003,0.23311973248943882,0.07130669198637671,0.0951653363261007
1.75e-07,1.7819655750000003,1.1859401262499998,1.3744588250000007,0.22058738329241404,0.055053569854228136,0.10045423621559808
1.875e-07,1.8028625249999997,1.187434415,1.376301525,0.2776030092483678,0.06472108167243014,0.10441637263782329
2e-07,1.878299225,1.16461146875,1.3934233499999997,0.23540830085337766,0.07110868108766678,0.1056478822451432
2.25e-07,1.8199988000000005,1.1831674874999998,1.3825109749999998,0.17229557091640518,0.0510265938464873,0.07357883345279975
2.5e-07,1.7878392499999998,1.1863127375,1.390882025,0.1586175881226212,0.054897388745498404,0.06858830675263526
2.75e-07,1.7738926499999992,1.17074148375,1.3835046249999998,0.1610862606190469,0.05420148366866329,0.07398511250805537
3e-07,1.7557209750000002,1.1723947875000003,1.379009825,0.16130158494966618,0.04816342711274161,0.06620729094644597
3.25e-07,1.7693490249999992,1.1778967625,1.3872244,0.1488326957290446,0.04872848109719816,0.07427787846109427
3.5e-07,1.8381814000000003,1.1750508874999999,1.3917049500000005,0.15666816007341758,0.04742736714806651,0.06566291222752647
3.75e-07,1.7629123750000004,1.1829228499999997,1.385062175,0.1575515632425917,0.0425110702111153,0.07471372148074609
3.999999e-07,1.7789648,1.1916497500000003,1.3797387750000003,0.19620785515610736,0.047310999550045175,0.06763921841145491
4.5e-07,1.7972570249999997,1.1820290875,1.3830130250000001,0.11301778072000164,0.03525463601534379,0.05309972950147526
4.999999e-07,1.798643475,1.1740102999999997,1.3709579749999998,0.10021789392493421,0.034686555196132916,0.05159112439615947
5.499999e-07,1.7810743999999996,1.1742199000000002,1.374883125,0.11378716578634868,0.031198984139060946,0.059969924908365536
5.999999e-07,1.782169425,1.1761109749999998,1.38341435,0.09989821042163058,0.02655932922303387,0.05223844916270366
6.499999e-07,1.7528576249999996,1.1774579249999997,1.3777810250000002,0.10674224504025749,0.03124589133189153,0.04946806756276593
6.999999e-07,1.79271525,1.1842204375,1.3857444750000003,0.12179107102385421,0.03321955709216146,0.06004503484715528
7.499999e-07,1.7730888749999998,1.1782565875000004,1.3774256249999999,0.11823877072436681,0.03150284286194462,0.05326790209185401
7.999998e-07,1.790185,1.1657696999999998,1.3760140999999997,0.12632527836046908,0.03777831705277511,0.04767475266936368
8.999999e-07,1.7860249,1.1802117,1.376959775,0.09108755606223057,0.028375386161678482,0.038204258041611025
9.999999e-07,1.7791425,1.1753769874999995,1.3816504249999997,0.07129417120143836,0.025549419428714533,0.035841229313980615
1.1e-06,1.780702475,1.1752128250000007,1.383818325,0.0797192284000502,0.03005423918051119,0.03851198058876453
1.2e-06,1.77316575,1.1864527125000006,1.385449325,0.10405867019541187,0.029253225966025958,0.039013965623605144
1.3e-06,1.7821202500000006,1.1831177874999999,1.3793239,0.08256585457492399,0.03264073649965639,0.03806335197000316
1.4e-06,1.7700457999999997,1.174434125,1.3796682,0.07525447579121125,0.029140240406695356,0.03538108417621448
1.5e-06,1.7910305500000003,1.18127205,1.3746010499999999,0.06989412680045083,0.027568125001484964,0.039659553059099156
1.6e-06,1.7629363499999997,1.1720415750000002,1.37991275,0.08433296048537309,0.023139561872202768,0.03838425894223276
1.8e-06,1.7668699749999999,1.1801973499999998,1.3759737500000002,0.056209363489763665,0.019979604529056602,0.029017623655763058
2e-06,1.7762745250000003,1.1776229750000002,1.3800556750000001,0.07379476712985397,0.01837192872344584,0.027486976196907768
2.2e-06,1.781440525,1.1786565999999998,1.3737755999999997,0.06567639522727609,0.02207841784277124,0.023772691782063718
2.4e-06,1.7584049499999999,1.1778219,1.3750309250000001,0.06678096376286806,0.022156638714375766,0.026685615804492867
2.6e-06,1.766211175,1.1671580125,1.3789816499999996,0.058031891691503336,0.01604858916626318,0.0265739999621311
2.799999e-06,1.75994225,1.1704326625,1.3726473750000001,0.057231987945444485,0.017674849124798067,0.029307526657389463
2.999999e-06,1.7488937249999998,1.1726883749999997,1.372424,0.04936356575146669,0.020886175486431218,0.02497595664953347
3.199999e-06,1.7577679500000003,1.1755729625000002,1.3725128499999997,0.059716638793116096,0.02208168623265669,0.024194632405475668
3.599999e-06,1.7634087,1.1811508000000002,1.3688435999999997,0.0486080758106099,0.01690211428017217,0.019156734476679486
4e-06,1.7594689249999997,1.1755220874999996,1.3721064250000001,0.05212386279593421,0.01622979107981293,0.021052510960805685
4.399999e-06,1.7606846500000004,1.1764673250000002,1.36896035,0.056891384977670406,0.018001416922773072,0.0211171985184914
4.799999e-06,1.751695025,1.1743198500000003,1.3696311499999996,0.0409963740143488,0.015477879125626346,0.020540419154133637
5.199999e-06,1.7460446249999997,1.1729806749999996,1.3680239500000002,0.04487146897678273,0.01451602042563664,0.018920408781111866
5.599999e-06,1.73851685,1.1812902749999998,1.3682084250000002,0.04646589243926667,0.01675540661083387,0.01844043898336955
5.999999e-06,1.7530113749999998,1.1750101499999996,1.3635939,0.04455972731104147,0.020133512040625197,0.017668473777536654
6.399999e-06,1.7525848750000002,1.177961975,1.3654179750000002,0.041362374416967114,0.018918836742103744,0.02066582128719726
7.199999e-06,1.7393887500000003,1.1777804875000004,1.3636139749999998,0.033923071887544336,0.01647746287279614,0.012909857639604077
