filename	Rg	t1	Cross
O1250_1.SIN	0.053	0.000149	0
O1250_2.SIN	0.053	0.000149	0
O1250_3.SIN	0.053	0.000149	0
O1250_4.SIN	0.053	0.000149	0
O1250_5.SIN	0.053	0.000149	0
O1250_6.SIN	0.053	0.000149	0
O1250_7.SIN	0.053	0.000149	0
O1250_8.SIN	0.053	0.000149	0
O1250_9.SIN	0.053	0.000149	0
O1250_10.SIN	0.053	0.000149	0
O1250_11.SIN	0.053	0.000149	0
O1250_12.SIN	0.053	0.000149	0
O1250_13.SIN	0.053	0.000149	0
O1250_14.SIN	0.053	0.000149	0
O1250_15.SIN	0.053	0.000149	0
O1250_16.SIN	0.053	0.000149	0
O1250_17.SIN	0.053	0.000149	0
O1250_18.SIN	0.053	0.000149	0
O1250_19.SIN	0.053	0.000149	0
O1250_20.SIN	0.053	0.000149	0
